codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0005,0014,0022,0038,0045,0048,0050,0060,0131,0134,0193,0194,0195,0196
23,Capital                                 ,001,0007A,1588,342,8,3,12,5,2,5,0,11,14,1,49,94,0,0,1,4
23,Capital                                 ,001,0007A,1589,342,0,0,3,6,0,4,1,8,21,0,63,87,0,0,0,2
23,Capital                                 ,001,0007A,1590,342,0,0,7,10,0,5,4,8,20,1,48,78,2,0,1,7
23,Capital                                 ,001,0007A,1591,342,36,2,16,0,3,0,1,6,22,1,62,88,0,0,1,8
23,Capital                                 ,001,0007A,1592,342,0,0,14,3,2,1,3,8,32,3,48,90,4,1,0,4
23,Capital                                 ,001,0007A,1593,342,0,0,9,3,2,1,0,5,34,0,55,83,0,0,0,0
23,Capital                                 ,001,0007A,1594,342,40,1,6,7,3,2,3,7,21,0,63,97,0,0,1,0
23,Capital                                 ,001,0007A,1595,341,38,0,13,2,0,3,1,10,28,2,57,87,0,1,2,3
23,Capital                                 ,001,0007A,1596,341,0,0,7,6,0,2,1,9,23,1,46,92,1,3,1,6
23,Capital                                 ,001,0008 ,0103,338,24,0,12,4,1,3,0,3,34,1,63,95,0,0,0,1
23,Capital                                 ,001,0008 ,0104,338,30,2,5,3,3,1,1,12,37,0,55,83,0,2,0,3
23,Capital                                 ,001,0008 ,0105,338,0,0,7,1,0,0,1,4,38,0,67,88,0,0,0,1
23,Capital                                 ,001,0008 ,0106,337,0,0,8,2,2,2,1,8,23,0,49,109,0,0,0,1
23,Capital                                 ,001,0008 ,0107,337,2,3,15,6,0,2,1,8,39,1,69,86,1,0,0,4
23,Capital                                 ,001,0008 ,0108,337,0,0,13,5,2,3,0,4,33,0,47,107,1,0,1,1
23,Capital                                 ,001,0008 ,0109,337,20,4,4,8,1,5,2,10,43,0,73,89,1,0,0,5
23,Capital                                 ,001,0008 ,0110,337,1,3,8,5,1,3,1,6,34,0,56,103,0,0,0,6
23,Capital                                 ,001,0008 ,1597,332,0,0,5,6,2,0,0,0,0,0,66,86,0,0,0,3
23,Capital                                 ,001,0008 ,1598,332,0,0,7,11,0,1,0,6,0,0,58,80,2,1,2,5
23,Capital                                 ,001,0008 ,1599,332,31,1,11,6,0,1,1,14,23,0,69,85,0,1,1,3
23,Capital                                 ,001,0008 ,1600,332,31,3,6,7,3,2,2,13,34,0,49,80,0,1,0,4
23,Capital                                 ,001,0008 ,1601,332,0,0,6,4,0,2,0,7,24,1,61,74,0,1,2,9
23,Capital                                 ,001,0008 ,1602,331,0,0,9,5,2,4,2,8,22,0,70,71,0,0,2,3
23,Capital                                 ,001,0008 ,1603,331,41,7,3,5,2,4,1,10,33,0,59,76,0,1,0,2
23,Capital                                 ,001,0008A,0111,333,0,0,8,3,1,0,0,6,25,2,50,118,0,1,0,2
23,Capital                                 ,001,0008A,0112,333,1,5,15,6,1,1,3,3,24,3,63,90,0,2,1,2
23,Capital                                 ,001,0008A,0113,333,0,0,2,5,1,1,1,4,38,0,34,39,1,2,2,3
23,Capital                                 ,001,0008A,0114,333,0,0,5,3,3,3,0,7,32,0,46,117,0,0,0,6
23,Capital                                 ,001,0008A,0115,333,1,2,8,5,1,3,4,5,33,0,46,99,1,0,0,4
23,Capital                                 ,001,0008A,0116,333,0,0,8,6,1,2,0,7,34,0,72,89,1,2,0,5
23,Capital                                 ,001,0008A,0117,333,0,0,5,2,0,0,2,6,30,1,55,107,0,0,0,4
23,Capital                                 ,001,0008A,0118,333,2,7,13,1,1,2,2,7,27,1,41,106,0,1,1,2
23,Capital                                 ,001,0008A,0119,333,27,6,8,3,1,2,4,3,32,0,54,92,1,0,2,2
23,Capital                                 ,001,0008A,0120,333,0,0,10,10,2,4,1,5,18,0,47,100,0,2,1,7
23,Capital                                 ,001,0008A,0121,333,30,6,7,6,1,4,2,2,24,0,46,99,0,0,4,3
23,Capital                                 ,001,0008A,0122,333,35,6,4,13,2,1,1,7,26,1,60,94,0,0,0,4
23,Capital                                 ,001,0008A,0123,332,2,5,7,2,3,1,0,5,40,2,55,111,1,0,2,1
23,Capital                                 ,001,0008A,1604,342,0,0,5,3,2,4,2,6,15,1,56,111,3,0,2,3
23,Capital                                 ,001,0008A,1605,342,1,5,5,8,1,1,0,7,32,1,49,83,0,4,8,3
23,Capital                                 ,001,0008A,1606,342,0,0,8,2,2,3,1,10,30,1,65,91,0,0,0,3
23,Capital                                 ,001,0008A,1607,342,0,0,0,7,1,2,4,4,24,2,58,86,0,0,1,1
23,Capital                                 ,001,0008A,1608,342,29,1,6,3,1,1,0,9,29,1,61,87,1,1,0,3
23,Capital                                 ,001,0008A,1609,341,39,2,6,1,3,2,0,5,30,2,62,83,1,2,1,7
23,Capital                                 ,001,0008A,1610,341,2,4,10,10,4,3,6,8,29,1,55,92,2,0,5,4
23,Capital                                 ,001,0008A,1611,341,4,0,7,3,2,1,3,7,24,0,56,96,1,4,0,2
23,Capital                                 ,001,0008A,1612,341,35,2,5,4,1,6,2,2,30,1,37,104,0,0,0,7
23,Capital                                 ,001,0008A,1613,341,0,0,7,5,2,3,0,7,26,4,38,85,0,0,1,7
23,Capital                                 ,001,0008A,1614,341,0,0,6,5,2,7,0,7,25,1,53,94,0,1,3,4
23,Capital                                 ,001,0009 ,0124,337,2,5,6,3,1,2,2,4,9,1,46,149,0,2,1,5
23,Capital                                 ,001,0009 ,0125,337,0,0,7,5,0,1,4,7,26,0,43,120,0,0,1,3
23,Capital                                 ,001,0009 ,0126,337,0,0,4,6,4,4,2,5,33,0,59,127,0,0,2,2
23,Capital                                 ,001,0009 ,0127,337,0,0,5,3,1,0,2,2,25,1,44,133,1,0,1,3
23,Capital                                 ,001,0009 ,0128,337,0,0,5,4,1,1,1,2,21,1,54,130,2,2,1,4
23,Capital                                 ,001,0009 ,0129,337,0,0,5,3,1,0,1,10,24,0,36,140,1,1,1,4
23,Capital                                 ,001,0009 ,0130,337,0,0,4,2,0,0,1,6,22,2,36,150,0,2,0,5
23,Capital                                 ,001,0009 ,0131,337,2,4,7,4,0,1,0,3,24,0,38,124,0,1,0,6
23,Capital                                 ,001,0009 ,0132,337,30,9,4,1,0,0,1,3,23,2,45,138,0,1,0,3
23,Capital                                 ,001,0009 ,0133,336,0,0,0,5,0,0,2,7,0,0,56,120,0,0,0,9
23,Capital                                 ,001,0009 ,0134,336,0,0,1,3,1,3,7,4,24,1,41,123,0,1,1,9
23,Capital                                 ,001,0009 ,0135,336,33,7,5,2,1,3,1,1,29,0,46,124,0,1,1,2
23,Capital                                 ,001,0009 ,0136,336,0,0,10,4,1,2,0,4,31,0,53,110,0,0,0,9
23,Capital                                 ,001,0009 ,0137,336,1,3,5,1,1,0,2,5,14,1,52,125,0,2,0,9
23,Capital                                 ,001,0009 ,0138,336,0,0,0,3,2,0,1,8,29,3,44,119,0,1,1,7
23,Capital                                 ,001,0009 ,0139,336,1,1,5,1,0,0,0,2,9,0,32,162,3,1,0,10
23,Capital                                 ,001,0009 ,0140,336,23,1,8,2,3,1,1,7,21,0,41,130,0,1,3,8
23,Capital                                 ,001,0009 ,0141,336,35,4,3,3,1,0,0,7,3,0,45,130,1,1,1,8
23,Capital                                 ,001,0009 ,0142,336,32,26,3,5,0,5,3,11,19,0,26,128,0,0,2,6
23,Capital                                 ,001,0009 ,1615,334,3,2,4,9,0,0,1,3,9,2,55,115,0,2,1,13
23,Capital                                 ,001,0009 ,1616,334,2,4,3,3,3,2,1,5,25,0,43,119,0,0,2,7
23,Capital                                 ,001,0009 ,1617,334,0,0,3,6,2,1,2,2,15,0,47,117,0,2,0,3
23,Capital                                 ,001,0009 ,1618,334,3,3,2,1,1,2,1,5,13,0,34,123,0,0,0,5
23,Capital                                 ,001,0009 ,1619,334,34,4,8,5,1,3,2,8,11,0,45,113,0,1,0,6
23,Capital                                 ,001,0009 ,1620,334,31,1,5,5,1,1,1,3,19,0,55,113,0,0,2,6
23,Capital                                 ,001,0009 ,1621,333,5,0,7,4,0,2,1,5,19,1,45,115,0,0,0,7
23,Capital                                 ,001,0009 ,1622,333,3,5,3,6,2,2,2,3,25,0,45,132,0,1,2,2
23,Capital                                 ,001,0009 ,1623,333,11,28,9,2,2,2,0,8,11,1,48,115,0,0,1,3
23,Capital                                 ,001,0009 ,1624,333,6,3,8,3,1,2,2,7,50,0,46,102,0,0,2,9
23,Capital                                 ,001,0009 ,1625,333,0,0,3,7,1,3,2,3,10,0,46,118,0,1,3,7
23,Capital                                 ,001,0009 ,1626,333,0,0,2,7,0,1,2,5,18,0,55,104,0,0,0,6
23,Capital                                 ,001,0009 ,1627,333,3,2,6,1,3,0,3,2,20,0,52,108,0,2,0,7
