codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00095,00005,00009,00094,00079,00006,00061,00004
22,001,CAPITAL,05091,093884,0,0,6,159,66,8,5,2,0,0,0
22,001,CAPITAL,05091,093885,0,0,17,148,54,6,0,2,0,0,1
22,001,CAPITAL,05091,093886,0,0,6,172,47,6,8,0,0,1,1
22,001,CAPITAL,05091,093887,0,0,9,170,37,6,3,4,0,3,1
22,001,CAPITAL,05091,093888,0,0,9,0,161,11,11,0,0,5,1
22,001,CAPITAL,05091,093889,0,0,2,158,30,22,4,0,0,11,0
22,001,CAPITAL,05091,093890,0,0,2,160,52,0,4,0,0,4,0
22,001,CAPITAL,05091,093891,0,0,17,166,36,10,7,2,1,0,1
22,001,CAPITAL,05092,093892,0,0,2,151,3,13,2,0,0,0,0
22,001,CAPITAL,05092,093893,0,0,2,144,2,8,3,1,0,0,0
22,001,CAPITAL,05092,093894,0,0,6,164,23,8,0,1,0,0,0
22,001,CAPITAL,05092,093895,0,0,6,163,16,2,0,0,0,2,1
22,001,CAPITAL,05093,093896,0,0,0,0,0,0,0,0,0,0,0
22,001,CAPITAL,05093,093897,0,0,1,163,37,7,5,1,0,1,0
22,001,CAPITAL,05093,093898,0,0,0,176,55,2,3,0,0,0,0
22,001,CAPITAL,05093,093899,0,0,0,184,0,0,2,0,0,0,0
22,001,CAPITAL,05093,093900,0,0,0,163,56,6,0,0,0,0,0
22,001,CAPITAL,05094,093901,0,0,2,113,28,3,0,1,0,0,0
22,001,CAPITAL,05094,093902,0,0,0,106,25,13,3,0,0,1,2
22,001,CAPITAL,05095,093903,0,0,8,125,77,19,8,2,0,3,1
22,001,CAPITAL,05095,093904,0,0,3,123,69,22,5,1,0,6,3
22,001,CAPITAL,05095,093905,0,0,0,145,94,2,0,1,0,0,0
22,001,CAPITAL,05095,093906,0,0,11,130,67,13,6,0,0,0,0
22,001,CAPITAL,05096,093907,0,0,1,113,59,16,1,1,0,2,1
22,001,CAPITAL,05096,093908,0,0,0,127,35,12,7,2,0,1,4
22,001,CAPITAL,05096,093909,0,0,0,126,46,19,0,0,0,0,1
22,001,CAPITAL,05096,093910,0,0,1,161,29,14,4,1,0,0,0
22,001,CAPITAL,05097,093911,0,0,11,129,74,5,0,1,1,1,0
22,001,CAPITAL,05097,093912,0,0,8,127,86,4,0,0,0,0,0
22,001,CAPITAL,05097,093913,0,0,9,109,101,3,0,2,0,6,4
22,001,CAPITAL,05097,093914,0,0,16,115,90,3,1,0,0,0,0
22,001,CAPITAL,05098,093915,0,0,10,134,49,49,10,1,2,2,2
22,001,CAPITAL,05098,093916,0,0,10,152,58,41,8,2,0,1,2
22,001,CAPITAL,05098,093917,0,0,2,146,60,26,11,4,0,9,0
22,001,CAPITAL,05098,093918,0,0,4,159,50,23,20,2,2,1,4
22,001,CAPITAL,05098,093919,0,0,0,148,104,14,2,0,0,1,1
22,001,CAPITAL,05098,093920,0,0,11,143,63,38,7,3,0,5,2
22,001,CAPITAL,05098,093921,0,0,2,128,62,50,11,2,1,1,3
22,001,CAPITAL,05098,093922,0,0,4,147,66,32,14,1,0,1,3
22,001,CAPITAL,05098,093923,0,0,10,161,57,34,9,2,1,0,1
22,001,CAPITAL,05099,093924,0,0,10,147,27,8,5,3,1,1,5
22,001,CAPITAL,05099,093925,0,0,16,121,22,23,6,3,0,7,5
22,001,CAPITAL,05099,093926,0,0,12,114,32,28,8,3,0,0,1
22,001,CAPITAL,05099,093927,0,0,17,135,31,18,0,0,0,0,0
22,001,CAPITAL,05100,093928,0,0,6,148,35,39,20,2,1,7,3
22,001,CAPITAL,05100,093929,0,0,25,161,41,28,13,6,0,2,1
22,001,CAPITAL,05100,093930,0,0,10,148,33,41,12,6,1,2,1
22,001,CAPITAL,05100,093931,0,0,0,0,0,0,0,0,0,0,0
22,001,CAPITAL,05100,093932,0,0,32,142,21,60,0,7,2,3,2
22,001,CAPITAL,05100,093933,0,0,23,145,32,49,15,7,0,3,0
22,001,CAPITAL,05100,093934,0,0,8,155,39,42,12,6,2,2,0
22,001,CAPITAL,05100,093935,0,0,47,29,134,56,0,0,0,0,0
22,001,CAPITAL,05100,093936,0,0,20,159,31,34,15,2,1,5,2
22,001,CAPITAL,05100,093937,0,0,19,148,38,48,14,9,1,2,9
22,001,CAPITAL,05100,093938,0,0,14,159,42,34,8,6,0,3,4
22,001,CAPITAL,05100,093939,0,0,25,131,35,46,18,8,1,2,2
22,001,CAPITAL,05100,093940,0,0,7,135,33,57,18,3,0,7,4
22,001,CAPITAL,05100,093941,0,0,18,137,36,51,14,2,1,5,5
22,001,CAPITAL,05100,093942,0,0,12,158,31,33,15,7,1,0,1
22,001,CAPITAL,05100,093943,0,0,20,167,13,32,13,4,0,4,6
22,001,CAPITAL,05100,093944,0,0,12,149,30,46,14,2,0,1,4
22,001,CAPITAL,05100,093945,0,0,19,146,48,32,15,4,0,12,6
22,001,CAPITAL,05100,093946,0,0,18,170,30,30,8,6,0,0,3
22,001,CAPITAL,05100,093947,0,0,24,139,23,33,22,7,1,8,8
22,001,CAPITAL,05100,093948,0,0,11,143,47,38,9,6,0,6,4
22,001,CAPITAL,05100,093949,0,0,14,119,29,73,14,3,0,4,4
22,001,CAPITAL,05100,093950,0,0,16,149,28,50,18,7,1,3,2
22,001,CAPITAL,05100,093951,0,0,0,127,46,68,25,5,2,9,2
22,001,CAPITAL,05100,093952,0,0,0,179,48,24,25,1,1,4,1
22,001,CAPITAL,05100,093953,0,0,16,141,49,46,9,4,1,3,7
22,001,CAPITAL,05100,093954,0,0,19,175,37,34,9,8,1,4,1
22,001,CAPITAL,05100,093955,0,0,13,129,44,48,12,13,3,5,3
22,001,CAPITAL,05100,093956,0,0,18,160,24,44,7,2,0,3,3
22,001,CAPITAL,05100,093957,0,0,23,137,24,53,10,3,0,4,8
22,001,CAPITAL,05100,093958,0,0,12,147,28,59,17,7,0,3,5
22,001,CAPITAL,05100,093959,0,0,27,125,35,56,16,4,2,1,2
22,001,CAPITAL,05100,093960,0,0,19,147,33,38,19,4,1,0,1
22,001,CAPITAL,05100,093961,0,0,13,145,19,56,16,2,0,3,0
22,001,CAPITAL,05100,093962,0,0,11,163,35,36,9,5,1,5,7
22,001,CAPITAL,05100,093963,0,0,22,127,36,60,12,2,2,2,4
22,001,CAPITAL,05101,093964,0,0,25,91,31,72,21,3,0,1,12
22,001,CAPITAL,05101,093965,0,0,28,101,28,69,15,0,0,4,1
22,001,CAPITAL,05101,093966,0,0,23,101,46,52,16,6,1,2,5
22,001,CAPITAL,05101,093967,0,0,15,16,26,45,19,5,0,4,5
22,001,CAPITAL,05101,093968,0,0,22,0,0,0,0,0,0,0,0
22,001,CAPITAL,05101,093969,0,0,21,120,24,73,15,5,0,2,6
22,001,CAPITAL,05101,093970,0,0,16,97,18,73,20,3,0,4,10
22,001,CAPITAL,05101,093971,0,0,15,121,36,53,4,6,0,2,4
22,001,CAPITAL,05101,093972,0,0,1,136,20,58,12,5,2,1,1
22,001,CAPITAL,05101,093973,0,0,20,130,24,48,15,5,1,1,4
22,001,CAPITAL,05101,093974,0,0,28,117,30,63,14,4,2,3,1
22,001,CAPITAL,05101,093975,0,0,23,100,26,58,23,7,1,3,2
22,001,CAPITAL,05101,093976,0,0,0,103,13,75,11,5,1,1,9
22,001,CAPITAL,05101,093977,0,0,19,98,17,82,17,6,0,1,4
22,001,CAPITAL,05101,093978,0,0,25,113,39,50,14,9,1,4,10
22,001,CAPITAL,05101,093979,0,0,26,89,35,69,25,11,0,1,10
22,001,CAPITAL,05101,093980,0,0,17,110,33,62,12,6,0,3,6
22,001,CAPITAL,05101,093981,0,0,26,110,36,54,20,7,1,0,6
22,001,CAPITAL,05101,093982,0,0,18,110,29,52,14,6,0,5,6
22,001,CAPITAL,05101,093983,0,0,22,112,26,66,16,7,0,5,10
22,001,CAPITAL,05102,093984,0,0,18,143,48,45,14,7,0,1,12
22,001,CAPITAL,05102,093985,0,0,30,141,30,40,12,5,0,1,3
22,001,CAPITAL,05102,093986,0,0,16,125,47,41,12,6,3,5,1
22,001,CAPITAL,05102,093987,0,0,25,129,30,49,15,7,0,6,2
22,001,CAPITAL,05102,093988,0,0,24,124,43,42,9,9,2,1,3
22,001,CAPITAL,05102,093989,0,0,30,145,46,31,8,4,0,2,4
22,001,CAPITAL,05102,093990,0,0,3,122,38,47,0,0,0,3,0
22,001,CAPITAL,05102,093991,0,0,12,136,51,38,19,11,0,0,2
22,001,CAPITAL,05102,093992,0,0,17,122,59,57,15,5,1,1,2
22,001,CAPITAL,05102,093993,0,0,18,151,34,38,18,9,2,1,0
22,001,CAPITAL,05102,093994,0,0,24,140,41,41,11,7,0,0,1
22,001,CAPITAL,05102,093995,0,0,26,51,9,38,15,3,121,4,2
22,001,CAPITAL,05102,093996,0,0,0,140,36,56,8,8,3,3,4
22,001,CAPITAL,05102,093997,0,0,45,98,43,45,19,7,1,3,6
22,001,CAPITAL,05102,093998,0,0,17,157,41,32,12,6,0,1,4
22,001,CAPITAL,05102,093999,0,0,24,144,35,40,10,0,1,2,3
22,001,CAPITAL,05102,094000,0,0,39,131,36,45,13,5,1,3,5
22,001,CAPITAL,05102,094001,0,0,2,130,43,38,18,6,1,13,1
22,001,CAPITAL,05102,094002,0,0,21,126,65,27,19,8,0,2,2
22,001,CAPITAL,05102,094003,0,0,15,154,42,30,12,2,1,2,6
22,001,CAPITAL,05102,094004,0,0,27,158,43,27,0,4,0,4,0
22,001,CAPITAL,05102,094005,0,0,22,135,38,28,11,9,0,1,3
22,001,CAPITAL,05102,094006,0,0,16,145,49,37,10,5,2,2,4
22,001,CAPITAL,05102,094007,0,0,18,129,42,61,4,8,0,4,4
22,001,CAPITAL,05102,094008,0,0,20,150,35,41,11,7,1,2,2
22,001,CAPITAL,05102,094009,0,0,18,144,50,38,11,9,0,3,1
22,001,CAPITAL,05102,094010,0,0,0,142,35,45,13,10,0,3,0
22,001,CAPITAL,05102,094011,0,0,13,121,47,44,21,9,0,2,2
22,001,CAPITAL,05102,094012,0,0,20,118,70,23,12,6,1,4,3
22,001,CAPITAL,05102,094013,0,0,17,137,44,53,11,2,0,4,7
22,001,CAPITAL,05102,094014,0,0,26,135,42,46,13,5,0,0,1
22,001,CAPITAL,05102,094015,0,0,24,115,57,49,9,4,0,0,6
22,001,CAPITAL,05102,094016,0,0,22,145,50,31,9,7,0,1,0
22,001,CAPITAL,05102,094017,0,0,21,141,43,48,8,7,2,7,1
22,001,CAPITAL,05102,094018,0,0,26,121,35,42,26,10,0,5,0
22,001,CAPITAL,05102,094019,0,0,24,138,46,50,16,6,2,3,0
22,001,CAPITAL,05102,094020,0,0,0,137,44,49,10,6,1,3,2
22,001,CAPITAL,05102,094021,0,0,0,144,44,46,15,8,1,7,0
22,001,CAPITAL,05102,094022,0,0,2,131,47,60,11,0,0,4,1
22,001,CAPITAL,05102,094023,0,0,26,130,57,49,8,9,2,3,0
22,001,CAPITAL,05102,094024,0,0,23,139,52,46,8,3,0,3,2
22,001,CAPITAL,05102,094025,0,0,20,139,55,42,10,9,2,4,3
22,001,CAPITAL,05103,094026,0,0,31,121,39,52,0,7,2,4,5
22,001,CAPITAL,05103,094027,0,0,20,128,40,47,18,10,3,2,0
22,001,CAPITAL,05103,094028,0,0,17,131,30,48,18,6,2,1,5
22,001,CAPITAL,05103,094029,0,0,22,128,42,60,15,5,1,1,3
