codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0002,0003,0005,0014,0038,0041,0042,0048,0057,0128,0139,0141,0142,0144,0145,0147,0148,0161,0507,0564,0565,0566
04,Capital,001,0003 ,0039,379,4,2,3,2,86,6,5,8,6,5,3,1,2,0,2,3,4,1,2,8,8,3,73,24,8
04,Capital,001,0003 ,0040,379,0,0,1,12,106,0,1,1,6,0,0,3,1,3,0,3,1,1,6,9,2,2,75,14,10
04,Capital,001,0003 ,0041,379,2,5,0,11,101,6,3,0,9,0,3,3,4,0,3,3,0,1,1,9,9,5,79,16,4
04,Capital,001,0003 ,0042,379,3,2,3,9,89,1,1,2,3,1,1,5,0,6,1,0,1,4,6,16,4,5,69,19,3
04,Capital,001,0003 ,0043,379,5,5,3,7,95,3,3,3,4,8,3,2,2,0,3,0,2,1,5,17,4,2,62,14,9
04,Capital,001,0003 ,0044,379,5,9,1,15,95,6,2,2,7,4,2,3,1,1,2,1,1,6,2,9,1,7,78,8,5
04,Capital,001,0003 ,0045,379,2,3,0,7,106,0,5,3,7,1,2,0,0,0,0,10,4,0,2,9,2,0,61,17,5
04,Capital,001,0003 ,0046,378,3,6,2,4,85,1,1,8,5,0,1,0,4,4,4,4,3,0,3,9,5,1,75,12,10
04,Capital,001,0003 ,0047,378,4,5,1,12,89,0,1,3,2,1,4,5,3,2,3,3,3,1,2,7,8,1,56,16,9
04,Capital,001,0003 ,0048,378,1,3,0,12,106,2,3,2,2,3,1,1,2,2,1,1,1,2,7,12,4,5,66,15,8
04,Capital,001,0003 ,0049,378,0,0,1,13,85,1,3,7,8,2,8,6,0,1,0,7,0,1,1,5,12,5,54,9,3
04,Capital,001,0003 ,0050,378,0,0,3,0,98,1,3,1,3,1,2,2,1,2,6,3,0,1,2,2,2,2,72,15,6
04,Capital,001,0003 ,0051,378,0,0,0,9,87,0,5,3,8,1,1,1,4,4,3,3,1,3,4,3,3,1,69,9,6
04,Capital,001,0003 ,0052,378,5,5,0,5,94,2,5,7,3,6,0,2,0,0,2,4,3,1,5,9,4,3,85,18,7
04,Capital,001,0003 ,0053,378,4,4,2,5,94,6,4,6,11,7,2,1,2,0,2,1,2,0,1,14,7,1,61,14,6
04,Capital,001,0003 ,0054,378,4,7,1,2,95,1,3,1,1,1,3,0,0,6,3,7,1,1,2,5,8,3,76,15,6
04,Capital,001,0003 ,0055,378,2,4,1,9,103,5,2,2,3,1,7,1,3,1,1,0,1,2,0,9,2,3,65,20,6
04,Capital,001,0003 ,0056,378,2,11,0,5,101,4,2,4,5,0,3,4,2,3,0,0,2,1,8,7,0,3,77,17,11
04,Capital,001,0003 ,0057,378,4,2,2,8,93,0,6,3,2,1,3,2,4,2,2,4,2,0,1,9,6,2,89,11,7
04,Capital,001,0003 ,0058,378,9,1,2,11,110,3,7,4,9,3,5,0,4,2,1,3,0,1,1,6,7,3,56,10,2
04,Capital,001,0003 ,0059,378,2,1,1,15,91,5,2,5,3,0,0,1,5,6,0,0,0,2,0,8,4,4,88,14,2
04,Capital,001,0003 ,3617,385,9,8,0,12,89,3,3,4,4,0,4,4,2,3,1,0,3,1,2,14,3,3,87,13,8
04,Capital,001,0003 ,3618,385,2,1,2,12,83,2,2,3,7,2,1,3,2,0,0,1,3,0,7,11,2,2,85,12,7
04,Capital,001,0003 ,3619,385,5,5,3,9,101,1,3,5,6,2,1,3,0,0,2,1,1,1,1,6,4,5,85,11,15
04,Capital,001,0003 ,3620,385,6,0,1,18,74,6,5,4,3,2,0,2,2,1,1,1,3,0,2,4,1,7,91,10,10
04,Capital,001,0003 ,3621,385,7,5,2,17,79,5,1,0,3,1,4,2,5,2,1,0,0,2,2,7,5,1,84,23,11
04,Capital,001,0003 ,3622,385,6,5,0,8,75,2,2,4,12,2,4,1,2,1,3,7,3,3,0,9,4,3,83,12,9
04,Capital,001,0003 ,3623,385,6,5,3,7,83,2,5,3,5,4,2,7,2,3,1,2,0,0,0,11,11,0,90,16,3
04,Capital,001,0003 ,3624,385,0,3,3,14,82,11,4,5,1,1,1,0,2,2,1,1,3,1,1,6,8,4,82,10,4
04,Capital,001,0003 ,3625,385,4,6,3,19,72,4,2,6,6,3,3,2,0,3,1,2,3,2,2,18,7,3,71,13,7
