codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0033,0065,0171,0174,0188,0202,0211,0259,0502,0503,0510,0530,0546,0554,0560,0580
21,Caseros,002,0364 ,0125,351,4,21,0,1,0,2,1,9,2,0,1,25,9,37,8,50,93,6,2
21,Caseros,002,0364 ,0126,351,7,16,1,0,1,0,6,11,1,0,0,21,2,35,3,55,94,3,5
21,Caseros,002,0364 ,0127,350,5,9,0,0,1,1,1,4,2,2,3,34,3,17,3,42,111,7,3
21,Caseros,002,0364 ,0128,351,19,0,0,0,1,1,4,12,0,2,3,40,3,35,0,41,102,13,0
21,Caseros,002,0364 ,0129,285,16,0,0,0,1,0,5,8,3,1,2,29,2,32,2,19,94,3,0
21,Caseros,002,0365 ,0130,350,12,17,0,1,3,1,9,14,8,4,4,102,0,12,11,35,25,10,1
21,Caseros,002,0365 ,0131,350,22,8,0,1,1,0,8,11,7,2,6,124,7,11,4,41,7,12,2
21,Caseros,002,0365 ,0132,350,20,10,3,1,1,1,3,19,3,5,2,100,1,9,8,51,18,21,0
21,Caseros,002,0365 ,0133,351,12,22,0,2,0,2,18,17,2,4,3,88,1,11,15,44,19,12,0
21,Caseros,002,0365 ,0134,350,16,12,1,1,0,1,15,22,4,5,1,103,0,17,11,45,11,14,1
21,Caseros,002,0365 ,0135,351,21,18,0,1,2,4,7,22,7,4,3,91,1,12,3,36,24,14,1
21,Caseros,002,0365 ,0136,352,18,18,0,0,0,2,12,7,2,3,1,118,3,9,4,52,18,15,3
21,Caseros,002,0365 ,0137,276,10,7,0,0,1,1,10,8,2,0,1,86,1,10,8,43,13,16,0
21,Caseros,002,0365A,0138,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
21,Caseros,002,0366 ,0139,350,21,15,2,0,3,3,10,14,1,7,9,36,4,10,4,51,87,1,2
21,Caseros,002,0366 ,0140,351,18,0,1,0,1,0,7,3,4,0,1,53,0,9,11,57,95,3,2
21,Caseros,002,0366 ,0141,351,9,17,3,0,1,0,3,12,1,0,1,61,6,4,9,87,48,5,12
21,Caseros,002,0366 ,0142,351,16,12,0,0,0,0,9,4,1,2,0,67,4,7,3,74,48,7,5
21,Caseros,002,0366 ,0143,350,23,0,2,0,0,0,16,11,0,5,4,36,1,8,1,71,73,5,6
21,Caseros,002,0366 ,0144,130,6,4,0,3,0,0,2,4,1,2,1,28,1,3,0,20,17,4,0
21,Caseros,002,0367 ,0145,350,8,32,2,0,6,3,8,18,16,3,9,55,3,16,2,74,12,12,0
21,Caseros,002,0367 ,0146,350,20,29,0,0,5,4,8,19,11,7,5,50,3,11,1,64,17,15,0
21,Caseros,002,0367 ,0147,351,18,20,0,0,3,0,7,9,9,0,0,93,3,14,3,73,9,11,0
21,Caseros,002,0367 ,0148,350,6,20,1,0,4,2,4,21,13,5,3,71,5,16,4,65,11,9,1
21,Caseros,002,0367 ,0149,351,17,21,3,0,4,0,3,2,18,0,1,100,5,10,3,53,19,14,3
21,Caseros,002,0367 ,0150,350,10,25,1,0,4,2,5,6,6,3,2,73,2,16,8,80,20,17,2
21,Caseros,002,0367 ,0151,351,7,23,0,0,1,0,8,7,8,2,1,82,5,14,13,59,7,13,2
21,Caseros,002,0367 ,0152,351,10,13,2,1,6,4,2,17,13,0,4,90,3,9,10,56,19,9,2
21,Caseros,002,0367 ,0153,351,8,21,2,0,4,2,4,17,7,2,4,66,6,22,2,73,13,9,6
21,Caseros,002,0367 ,0154,351,35,0,0,0,3,2,2,7,12,1,2,80,5,9,5,71,10,10,2
21,Caseros,002,0367 ,0155,350,7,27,2,1,2,2,6,19,14,2,3,57,4,17,3,79,11,11,3
21,Caseros,002,0367 ,0156,351,12,16,2,4,5,2,9,18,14,3,4,54,2,12,1,80,12,7,0
21,Caseros,002,0367 ,0157,350,11,12,0,2,0,1,5,15,17,3,6,84,7,13,3,51,20,8,1
21,Caseros,002,0367 ,0158,190,4,8,1,0,3,2,3,11,9,3,6,36,7,5,5,20,7,4,0
21,Caseros,002,0368A,0159,351,14,30,0,2,0,0,6,14,13,0,2,39,4,8,24,72,13,16,2
21,Caseros,002,0368A,0160,350,12,30,1,1,5,3,11,17,3,7,5,47,7,10,7,70,12,9,5
21,Caseros,002,0368A,0161,351,8,40,3,0,3,2,15,25,4,2,1,43,2,11,15,68,16,5,1
21,Caseros,002,0368A,0162,351,13,19,2,1,1,0,14,18,6,0,3,50,2,12,7,55,26,7,3
21,Caseros,002,0368A,0163,351,14,14,1,0,2,1,13,27,6,1,6,63,1,9,12,63,18,11,0
21,Caseros,002,0368A,0164,351,12,23,1,0,4,2,11,17,8,4,5,48,4,14,9,51,15,18,1
21,Caseros,002,0368A,0165,350,12,33,2,0,2,2,9,19,10,1,0,89,1,10,2,39,12,10,2
21,Caseros,002,0368A,0166,351,7,16,4,0,3,4,9,16,4,1,2,82,2,13,5,51,20,8,4
21,Caseros,002,0368A,0167,351,22,25,1,0,2,0,8,29,5,3,3,82,6,6,7,37,20,13,0
21,Caseros,002,0368A,0168,351,18,29,1,2,0,2,5,21,4,4,2,56,7,4,10,42,14,21,1
21,Caseros,002,0368A,0169,351,12,16,1,0,1,1,11,26,2,1,4,82,4,13,4,53,26,15,1
21,Caseros,002,0368A,0170,350,20,24,3,0,1,3,4,41,4,3,2,55,4,16,8,45,23,16,1
21,Caseros,002,0368A,0171,351,12,27,0,1,1,0,13,12,7,4,4,62,3,14,10,62,15,13,1
21,Caseros,002,0368A,0172,351,22,24,1,1,3,0,11,20,7,3,6,48,5,6,16,47,11,11,2
21,Caseros,002,0368A,0173,351,5,13,1,0,1,0,16,29,3,3,2,83,5,9,5,44,28,15,2
21,Caseros,002,0368A,0174,351,18,22,1,1,0,0,10,17,6,1,2,48,5,13,12,61,26,11,6
21,Caseros,002,0368A,0175,351,10,22,2,0,1,1,9,30,5,1,5,43,2,21,7,45,19,9,0
21,Caseros,002,0368A,0176,351,13,16,2,1,0,1,5,36,5,4,4,83,5,12,7,45,4,7,0
21,Caseros,002,0368A,0177,351,20,30,1,3,6,6,6,17,4,5,3,65,4,7,5,47,21,13,1
21,Caseros,002,0368A,0178,351,20,0,4,10,4,0,4,16,0,2,3,78,3,9,6,49,21,14,5
21,Caseros,002,0368A,0179,351,36,0,2,0,2,2,4,16,6,1,1,74,4,9,4,54,20,11,1
21,Caseros,002,0368A,0180,351,22,35,0,0,2,3,6,19,8,0,0,72,4,6,6,52,19,15,3
21,Caseros,002,0368A,0181,351,9,17,0,0,1,0,5,18,11,3,2,104,3,11,5,40,23,13,0
21,Caseros,002,0368A,0182,350,8,18,2,3,6,1,7,20,12,2,5,62,5,11,9,51,15,24,2
21,Caseros,002,0368A,0183,351,11,26,0,1,3,2,6,26,4,2,3,71,5,10,7,47,11,11,3
21,Caseros,002,0368A,0184,351,9,16,0,5,1,2,10,19,9,3,9,79,0,13,8,49,21,12,0
21,Caseros,002,0368A,0185,351,18,32,0,1,5,1,12,15,10,6,4,46,5,7,12,62,12,9,2
21,Caseros,002,0368A,0186,351,15,27,2,0,0,2,4,19,4,2,3,61,4,6,9,56,22,19,6
21,Caseros,002,0368A,0187,351,14,32,0,1,0,6,9,22,7,0,1,78,0,9,4,34,21,14,2
21,Caseros,002,0368A,0188,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Caseros,002,0368A,0189,351,9,19,1,0,1,0,6,21,2,4,2,91,3,11,9,47,16,21,1
21,Caseros,002,0368A,0190,351,10,21,1,1,0,1,12,5,10,6,3,61,6,15,7,56,22,13,1
21,Caseros,002,0368A,0191,350,12,24,1,0,2,0,15,24,3,4,0,70,2,14,14,48,19,14,0
21,Caseros,002,0368A,0192,351,17,19,1,0,0,1,3,29,3,4,1,93,3,6,11,40,13,16,0
21,Caseros,002,0368A,0193,350,10,25,3,1,1,3,12,25,3,2,6,86,0,7,6,42,20,14,1
21,Caseros,002,0368A,0194,351,18,23,1,3,2,2,15,36,9,3,2,50,2,9,8,47,11,5,1
