codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0014,0022,0048,0058,0101,0233,0234,0236,0237,0238,0239,0240,0241
23,Capital                                 ,001,0008 ,1344,375,3,6,4,4,10,4,95,30,13,2,0,15,4,34,20
23,Capital                                 ,001,0008 ,1345,375,3,5,2,2,11,3,102,24,13,0,0,25,5,32,29
23,Capital                                 ,001,0008 ,1346,374,5,7,4,3,9,1,102,23,15,1,0,24,3,25,20
23,Capital                                 ,001,0008A,0096,390,5,6,6,0,10,0,139,19,13,4,1,11,3,29,22
23,Capital                                 ,001,0008A,0097,389,2,6,1,6,11,2,128,11,19,4,0,34,4,20,24
23,Capital                                 ,001,0008A,0098,389,1,3,3,0,13,2,120,9,17,1,1,29,1,24,24
23,Capital                                 ,001,0008A,0099,389,4,4,0,2,11,3,121,22,7,1,0,27,3,19,32
23,Capital                                 ,001,0008A,0100,389,2,2,4,4,9,3,122,28,15,0,1,19,7,31,25
23,Capital                                 ,001,0008A,0101,389,3,5,4,4,8,1,137,20,5,2,2,26,5,10,28
23,Capital                                 ,001,0008A,0102,389,1,4,3,1,20,4,126,14,15,0,0,15,6,27,32
23,Capital                                 ,001,0008A,0103,389,2,11,4,1,12,3,124,18,15,2,0,25,3,21,18
23,Capital                                 ,001,0008A,0104,389,1,4,0,3,10,1,132,22,10,0,0,22,2,2,31
23,Capital                                 ,001,0008A,0105,389,3,2,9,2,24,3,147,17,15,0,0,21,4,11,17
23,Capital                                 ,001,0008A,0106,389,0,6,2,3,19,2,142,22,13,0,1,17,4,17,31
23,Capital                                 ,001,0008A,1347,369,3,3,2,2,7,6,117,19,10,2,0,39,7,21,17
23,Capital                                 ,001,0008A,1348,369,4,6,3,1,6,7,100,14,16,0,0,26,2,21,22
23,Capital                                 ,001,0008A,1349,369,2,9,0,0,15,2,100,22,16,3,2,20,3,31,21
23,Capital                                 ,001,0008A,1350,369,6,13,3,3,7,0,89,30,12,1,6,18,3,17,26
23,Capital                                 ,001,0008A,1351,369,6,4,2,1,7,2,130,22,8,1,0,26,7,26,23
23,Capital                                 ,001,0008A,1352,369,5,8,2,3,14,7,98,24,15,0,1,23,3,25,23
23,Capital                                 ,001,0008A,1353,369,5,8,2,2,11,7,107,16,4,1,2,22,2,27,26
23,Capital                                 ,001,0008A,1354,369,4,7,2,2,8,4,106,13,13,0,1,22,4,30,19
23,Capital                                 ,001,0008A,1355,368,4,5,0,1,6,7,109,20,15,0,0,14,5,13,22
23,Capital                                 ,001,0008A,1356,368,1,5,3,1,16,1,97,13,11,2,2,17,8,31,17
