codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0003,0005,0022,0041,0054,0058,0071,0072,0160,0162,0163,0164
17,Capital                                 ,001,0002B,1055,372,7,5,7,13,6,1,3,17,2,0,2,37,58,42,3
17,Capital                                 ,001,0002B,1056,372,2,5,8,6,3,7,11,13,8,0,3,37,69,47,1
17,Capital                                 ,001,0002B,1057,371,7,3,5,8,10,7,2,17,4,0,2,40,56,49,5
17,Capital                                 ,001,0002B,1058,371,9,0,9,10,4,6,8,24,5,0,2,43,61,48,4
17,Capital                                 ,001,0002B,1059,371,2,3,7,11,1,5,5,11,3,0,8,40,62,51,2
17,Capital                                 ,001,0002B,1060,371,9,2,7,7,4,3,4,10,3,0,0,35,62,47,3
17,Capital                                 ,001,0002B,3061,434,12,0,12,13,4,8,6,16,3,0,3,57,78,59,6
17,Capital                                 ,001,0002B,3062,434,6,2,10,14,6,7,3,29,7,0,0,36,80,68,2
17,Capital                                 ,001,0002B,3063,434,2,0,7,9,4,6,12,22,5,0,1,36,74,66,2
17,Capital                                 ,001,0002B,3064,434,20,0,14,11,0,5,6,23,3,0,1,30,91,76,2
17,Capital                                 ,001,0002B,3065,433,0,0,13,14,4,5,3,15,4,0,3,39,84,78,6
17,Capital                                 ,001,0002C,1061,440,8,3,17,14,4,1,3,16,6,0,3,37,83,66,7
17,Capital                                 ,001,0002C,1062,439,7,7,12,17,3,2,2,27,2,0,3,44,65,73,1
17,Capital                                 ,001,0002C,1063,439,3,5,8,14,2,4,4,17,6,0,2,55,65,53,3
17,Capital                                 ,001,0002C,1064,439,5,7,9,12,2,8,3,26,5,0,0,55,66,50,1
17,Capital                                 ,001,0002C,1065,439,7,5,6,9,6,5,5,17,6,0,4,36,79,48,2
17,Capital                                 ,001,0002C,1066,439,7,6,8,20,1,10,4,24,6,0,0,38,70,64,4
17,Capital                                 ,001,0002C,1067,439,0,0,8,9,2,1,6,21,5,0,0,44,72,46,6
17,Capital                                 ,001,0002C,3066,397,4,0,7,12,5,3,4,21,5,0,4,39,76,62,1
17,Capital                                 ,001,0002C,3067,397,11,5,12,19,5,7,2,16,3,0,1,40,61,72,3
17,Capital                                 ,001,0002C,3068,397,5,5,12,15,4,5,11,18,4,0,2,37,74,60,2
17,Capital                                 ,001,0002C,3069,397,3,9,14,11,3,11,4,18,1,0,2,32,55,75,1
17,Capital                                 ,001,0002C,3070,396,8,10,7,18,2,6,3,20,8,0,1,38,65,53,1
17,Capital                                 ,001,0002C,3071,396,8,11,15,11,4,6,4,27,8,0,2,42,50,58,4
17,Capital                                 ,001,0002C,3072,396,5,6,15,13,1,6,0,18,68,0,0,30,0,61,0
17,Capital                                 ,001,0002C,3073,396,3,0,15,19,3,4,2,16,1,0,2,30,73,54,1
17,Capital                                 ,001,0002C,3074,396,2,2,12,12,2,5,3,7,8,0,5,41,60,77,3
17,Capital                                 ,001,0002D,1068,434,10,0,6,9,1,5,10,29,2,0,1,58,71,58,2
17,Capital                                 ,001,0002D,1069,434,3,6,2,13,3,0,10,25,9,0,2,62,83,34,4
17,Capital                                 ,001,0002D,1070,434,3,10,7,10,2,0,4,27,0,8,6,41,89,48,1
17,Capital                                 ,001,0002D,1071,434,2,2,4,19,5,3,10,27,12,1,2,51,82,61,9
17,Capital                                 ,001,0002D,1072,434,4,2,4,8,4,0,0,24,2,11,0,53,83,58,3
17,Capital                                 ,001,0002D,1073,434,4,4,2,6,4,6,8,25,3,0,2,53,82,53,3
17,Capital                                 ,001,0002D,1074,434,3,6,2,9,4,4,6,21,10,0,2,67,77,63,5
17,Capital                                 ,001,0002D,1075,434,4,7,5,15,2,5,8,19,5,0,2,51,72,55,10
17,Capital                                 ,001,0002D,1076,433,0,0,9,12,3,6,4,22,4,0,1,60,70,54,4
