codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00037,00047,00052,00081,00086,00109
24,002,Río Grande,05668,098323,0,0,30,76,14,38,10,3,43
24,002,Río Grande,05668,098324,0,0,30,89,21,30,4,6,61
24,002,Río Grande,05668,098325,0,0,29,74,11,33,5,8,43
24,002,Río Grande,05668,098326,0,0,24,68,9,51,9,5,44
24,002,Río Grande,05668,098327,0,0,15,76,14,43,9,11,52
24,002,Río Grande,05668,098328,0,0,33,75,16,47,3,7,49
24,002,Río Grande,05668,098329,0,0,42,63,11,34,6,11,63
24,002,Río Grande,05668,098330,0,0,33,74,21,45,4,6,47
24,002,Río Grande,05668,098331,0,0,31,81,11,46,7,11,43
24,002,Río Grande,05668,098332,0,0,36,61,14,50,10,5,48
24,002,Río Grande,05668,098333,0,0,56,70,13,26,3,5,59
24,002,Río Grande,05668,098334,0,0,35,70,9,52,8,4,53
24,002,Río Grande,05668,098335,0,0,26,71,23,38,8,6,52
24,002,Río Grande,05668,098336,0,0,26,72,15,38,6,7,56
24,002,Río Grande,05668,098337,0,0,18,35,7,21,5,2,33
24,002,Río Grande,05668,098338,0,0,17,37,11,24,4,4,16
24,002,Río Grande,05668,101403,0,0,0,0,0,0,0,0,0
24,002,Río Grande,05668,101404,0,0,0,0,0,0,0,0,0
24,002,Río Grande,05669,098339,0,0,26,86,11,43,10,5,47
24,002,Río Grande,05669,098340,0,0,25,69,12,38,9,8,58
24,002,Río Grande,05669,098341,0,0,33,48,18,50,8,5,55
24,002,Río Grande,05669,098342,0,0,26,75,12,48,12,7,51
24,002,Río Grande,05669,098343,0,0,29,75,13,43,7,9,61
24,002,Río Grande,05669,098344,0,0,37,69,20,49,5,7,42
24,002,Río Grande,05669,098345,0,0,31,56,21,44,6,8,58
24,002,Río Grande,05669,098346,0,0,31,76,14,36,11,7,58
24,002,Río Grande,05669,098347,0,0,26,51,16,45,9,8,45
24,002,Río Grande,05669,098348,0,0,35,64,17,55,8,7,39
24,002,Río Grande,05669,098349,0,0,27,69,9,45,7,9,66
24,002,Río Grande,05669,098350,0,0,28,64,14,37,8,9,52
24,002,Río Grande,05669,098351,0,0,33,59,14,45,5,7,48
24,002,Río Grande,05669,098352,0,0,33,67,15,41,5,4,47
24,002,Río Grande,05669,098353,0,0,29,72,13,41,5,5,50
24,002,Río Grande,05669,098354,0,0,33,87,18,31,6,8,46
24,002,Río Grande,05669,098355,0,0,29,67,23,40,3,8,46
24,002,Río Grande,05669,098356,0,0,28,60,14,67,8,5,46
24,002,Río Grande,05669,098357,0,0,32,73,16,43,8,6,50
24,002,Río Grande,05669,098358,0,0,23,82,13,49,4,12,44
24,002,Río Grande,05669,098359,0,0,27,71,16,43,6,2,54
24,002,Río Grande,05669,098360,0,0,30,72,9,56,13,9,47
24,002,Río Grande,05669,098361,0,0,26,67,15,39,9,10,56
24,002,Río Grande,05669,098362,0,0,21,69,25,43,6,7,57
24,002,Río Grande,05669,098363,0,0,31,78,11,39,11,6,61
24,002,Río Grande,05669,098364,0,0,28,66,13,43,7,4,59
24,002,Río Grande,05669,098365,0,0,42,56,17,36,5,15,55
24,002,Río Grande,05669,098366,0,0,36,76,18,34,7,6,57
24,002,Río Grande,05669,098367,0,0,30,64,14,53,6,10,40
24,002,Río Grande,05669,098368,0,0,31,66,13,59,7,6,40
24,002,Río Grande,05669,098369,0,0,31,62,11,46,6,9,53
24,002,Río Grande,05669,098370,0,0,34,61,13,39,4,0,53
24,002,Río Grande,05669,098371,0,0,24,77,18,35,11,6,54
24,002,Río Grande,05669,098372,0,0,43,68,20,46,12,6,47
24,002,Río Grande,05669,098373,0,0,37,65,18,52,4,11,38
24,002,Río Grande,05669,098374,0,0,30,62,13,54,8,5,58
24,002,Río Grande,05669,098375,0,0,37,60,13,46,7,5,48
24,002,Río Grande,05669,098376,0,0,18,72,17,47,12,4,50
24,002,Río Grande,05669,098377,0,0,25,70,14,38,4,3,47
24,002,Río Grande,05669,098378,0,0,22,62,13,43,2,10,62
24,002,Río Grande,05669,098379,0,0,18,68,12,44,7,12,69
24,002,Río Grande,05669,098380,0,0,29,68,21,32,12,8,65
24,002,Río Grande,05669,098381,0,0,31,63,20,44,3,8,62
24,002,Río Grande,05669,098382,0,0,35,81,19,38,5,7,50
24,002,Río Grande,05669,098383,0,0,23,58,12,41,9,13,54
24,002,Río Grande,05669,098384,0,0,28,69,17,39,10,5,56
24,002,Río Grande,05669,098385,0,0,25,66,15,41,9,11,61
24,002,Río Grande,05669,098386,0,0,29,65,16,42,6,8,52
24,002,Río Grande,05669,098387,0,0,38,55,8,63,11,11,4
24,002,Río Grande,05669,098388,0,0,30,94,15,33,10,5,54
24,002,Río Grande,05669,098389,0,0,33,70,14,41,5,7,40
24,002,Río Grande,05669,098390,0,0,38,68,16,45,11,7,49
24,002,Río Grande,05669,098391,0,0,33,67,18,35,10,5,64
24,002,Río Grande,05669,098392,0,0,34,57,17,32,6,10,52
24,002,Río Grande,05669,098393,0,0,36,77,12,42,8,5,56
24,002,Río Grande,05669,098394,0,0,108,74,14,40,5,7,47
24,002,Río Grande,05669,098395,0,0,48,68,15,42,4,10,39
24,002,Río Grande,05669,098396,0,0,29,64,10,40,7,8,57
24,002,Río Grande,05669,098397,0,0,30,63,13,57,18,5,52
24,002,Río Grande,05669,098398,0,0,37,68,14,49,8,5,46
24,002,Río Grande,05669,098399,0,0,34,61,11,50,7,8,52
24,002,Río Grande,05669,098400,0,0,14,39,11,22,4,6,33
24,002,Río Grande,05669,098401,0,0,20,48,10,32,4,5,27
24,002,Río Grande,05669,101405,0,0,0,0,0,0,0,0,0
24,002,Río Grande,05670,098402,0,0,30,58,14,44,5,6,40
