codprov,coddepto,depto,circuito,mesa,electores,blancos,00036,00050,00037,00047
19,001,Pueyrredon,01018,000329,350,26,5,122,84,23
19,001,Pueyrredon,01019,000330,325,23,5,89,110,24
19,001,Pueyrredon,01019,000331,326,22,11,93,104,15
19,001,Pueyrredon,01019,000332,326,14,12,87,112,15
19,001,Pueyrredon,01019,000333,323,20,4,81,116,15
19,001,Pueyrredon,01019,000334,327,2,5,89,99,19
19,001,Pueyrredon,01019,000335,327,14,6,84,132,13
19,001,Pueyrredon,01019,000336,326,25,7,82,124,18
19,001,Pueyrredon,01019,000337,325,21,9,78,109,18
19,001,Pueyrredon,01019,000338,324,15,8,101,92,26
19,001,Pueyrredon,01019,000339,337,22,11,102,109,19
19,001,Pueyrredon,01019,000340,329,27,6,99,113,19
19,001,Pueyrredon,01020,000341,348,12,14,91,139,25
19,001,Pueyrredon,01020,000342,348,27,9,71,161,16
19,001,Pueyrredon,01020,000343,349,22,6,82,159,18
