codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00037,00101,00050,00036,00074
17,001,Capital,0002M,001338,345,13,0,81,37,113,13,5
17,001,Capital,0002M,001339,344,25,4,100,42,83,10,10
17,001,Capital,0002M,001340,346,17,2,98,33,91,11,6
17,001,Capital,0002M,001341,346,23,0,78,42,94,12,4
17,001,Capital,0002M,001342,345,23,1,96,30,99,11,6
17,001,Capital,0002M,001343,345,21,5,83,41,98,15,8
17,001,Capital,0002M,001344,343,40,0,65,60,92,9,10
17,001,Capital,0002M,001345,343,25,2,94,33,86,9,9
17,001,Capital,0002M,001346,345,16,5,81,51,102,6,6
17,001,Capital,0002M,001347,347,21,1,94,39,105,15,6
17,001,Capital,0002M,001348,345,17,4,99,43,100,10,6
17,001,Capital,0002M,001349,348,25,0,85,34,99,12,8
17,001,Capital,0002N,001350,340,18,0,89,34,93,12,10
17,001,Capital,0002N,001351,343,35,0,81,25,96,18,9
17,001,Capital,0002N,001352,341,36,2,74,34,108,8,7
17,001,Capital,0002N,001353,342,40,2,93,34,90,7,10
17,001,Capital,0002N,001354,343,27,2,97,48,84,8,10
17,001,Capital,0002N,001355,342,15,0,84,42,99,10,14
17,001,Capital,0002N,001356,341,30,0,99,35,85,13,11
17,001,Capital,0002N,001357,343,32,2,89,40,93,6,10
17,001,Capital,0002N,001358,343,23,5,83,36,96,7,14
17,001,Capital,0002N,001359,343,30,0,88,34,91,7,9
17,001,Capital,0002N,001360,342,29,1,98,40,88,17,8
17,001,Capital,0002N,001361,343,26,2,82,42,99,16,9
17,001,Capital,0002N,001362,343,24,0,93,46,93,6,11
17,001,Capital,0002N,001363,346,23,7,101,26,102,9,7
17,001,Capital,0002N,001364,343,28,2,103,27,99,9,7
17,001,Capital,0002N,001365,341,25,9,73,48,76,5,22
17,001,Capital,0002N,001366,341,26,3,83,35,104,10,13
17,001,Capital,0002N,001367,342,28,2,89,43,89,13,4
17,001,Capital,0002N,001368,340,22,0,76,35,110,11,9
17,001,Capital,0002N,001369,344,28,4,94,36,102,13,13
17,001,Capital,0002O,001370,339,30,0,112,31,65,13,5
17,001,Capital,0002O,001371,342,39,0,92,46,83,3,7
17,001,Capital,0002O,001372,342,23,1,89,40,77,15,4
17,001,Capital,0002O,001373,341,45,1,84,41,77,11,7
17,001,Capital,0002O,001374,340,25,7,128,42,65,10,6
17,001,Capital,0002O,001375,342,26,5,76,36,97,17,13
17,001,Capital,0002O,001376,341,22,3,111,41,57,10,15
17,001,Capital,0002O,001377,341,29,3,101,36,79,9,12
17,001,Capital,0002O,001378,341,40,3,99,44,69,6,9
17,001,Capital,0002O,001379,340,31,9,89,31,78,9,20
17,001,Capital,0002O,001380,340,18,2,114,35,73,4,7
17,001,Capital,0002O,001381,340,31,5,115,38,73,11,13
17,001,Capital,0002O,001382,340,35,0,117,49,63,14,4
17,001,Capital,0002O,001383,341,22,0,98,58,66,12,23
17,001,Capital,0002O,001384,341,31,2,99,34,95,9,9
17,001,Capital,0002O,001385,341,32,0,100,33,69,14,7
17,001,Capital,0002O,001386,339,21,5,105,43,71,13,14
17,001,Capital,0002O,001387,341,32,0,101,53,70,8,10
17,001,Capital,0002O,001388,340,23,2,105,43,71,10,11
17,001,Capital,0002O,001389,341,27,0,102,35,78,13,10
17,001,Capital,0002O,001390,343,35,0,109,38,65,8,7
17,001,Capital,0002O,001391,340,33,0,118,35,72,10,8
17,001,Capital,0002O,001392,339,27,0,111,33,87,5,8
17,001,Capital,0002O,001393,340,19,11,132,29,78,6,10
17,001,Capital,0002O,001394,340,27,5,99,48,57,10,9
17,001,Capital,0002O,001395,337,27,1,97,36,68,11,8
17,001,Capital,0002O,001396,338,39,3,113,45,71,5,7
17,001,Capital,0002O,001397,338,37,0,105,36,75,7,10
17,001,Capital,0002O,001398,340,31,0,93,43,78,13,9
17,001,Capital,0002P,001399,333,27,6,89,32,90,11,16
17,001,Capital,0002P,001400,333,25,2,82,39,94,8,8
17,001,Capital,0002P,001401,332,30,0,73,33,91,9,11
17,001,Capital,0002P,001402,334,27,0,93,37,88,16,5
17,001,Capital,0002P,001403,333,30,5,91,34,74,11,9
17,001,Capital,0002P,001404,332,24,2,103,45,76,10,10
17,001,Capital,0002P,001405,333,30,0,103,36,81,4,9
17,001,Capital,0002P,001406,333,24,2,89,36,80,7,7
17,001,Capital,0002P,001407,332,18,4,76,30,105,11,13
17,001,Capital,0002P,001408,334,27,0,88,39,102,12,4
17,001,Capital,0002P,001409,328,21,9,71,30,115,8,9
17,001,Capital,0002P,001410,335,38,3,79,42,77,11,11
17,001,Capital,0002P,001411,331,18,5,90,46,88,12,12
17,001,Capital,0002P,001412,333,26,1,91,32,96,11,10
17,001,Capital,0002P,001413,331,23,6,95,38,79,13,5
17,001,Capital,0002P,001414,332,24,6,76,37,91,14,8
17,001,Capital,0002P,001415,329,17,0,103,27,103,12,12
17,001,Capital,0002P,001416,332,16,4,96,41,87,10,13
17,001,Capital,0002P,001417,334,39,0,88,23,69,9,9
17,001,Capital,0002Q,001418,344,28,3,84,41,81,8,15
17,001,Capital,0002Q,001419,347,21,9,91,40,80,3,11
17,001,Capital,0002Q,001420,346,24,4,97,41,78,10,9
17,001,Capital,0002Q,001421,344,39,1,90,43,79,14,11
17,001,Capital,0002Q,001422,346,16,2,79,36,107,8,16
17,001,Capital,0002Q,001423,346,30,0,91,31,95,6,12
17,001,Capital,0002Q,001424,346,34,1,73,36,93,19,15
17,001,Capital,0002Q,001425,345,37,0,99,36,74,16,13
17,001,Capital,0002Q,001426,343,33,2,107,35,57,14,6
17,001,Capital,0002Q,001427,346,25,5,107,37,90,8,8
17,001,Capital,0002Q,001428,344,25,2,92,34,90,11,8
17,001,Capital,0002Q,001429,345,31,10,79,36,85,10,17
17,001,Capital,0002Q,001430,347,37,0,97,34,95,11,8
17,001,Capital,0002Q,001431,347,25,0,113,33,88,9,7
17,001,Capital,0002Q,001432,345,16,4,103,36,93,7,8
17,001,Capital,0002Q,001433,346,24,4,72,38,109,7,15
17,001,Capital,0002Q,001434,350,37,2,82,59,82,10,11
17,001,Capital,0002Q,001435,350,26,3,103,33,97,11,9
17,001,Capital,0002Q,001436,344,34,2,94,33,85,6,14
17,001,Capital,0002Q,001437,345,25,0,91,41,87,11,8
17,001,Capital,0002Q,001438,345,27,1,85,38,103,6,5
17,001,Capital,0002Q,001439,346,24,9,99,36,92,8,10
17,001,Capital,0002Q,001440,345,21,0,117,28,77,13,3
17,001,Capital,0002Q,001441,345,25,7,95,37,84,10,10
17,001,Capital,0002Q,001442,346,18,5,106,25,92,13,5
17,001,Capital,0002Q,001443,346,48,0,105,30,68,8,12
17,001,Capital,0002Q,001444,347,25,4,102,25,90,8,9
