codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0001,0005,0012,0014,0017,0038,0050,0056,0057,0060,0175,0187,0209,0210,0211,0212,0213,0442
22,Capital                                 ,001,0007A,0122,450,19,0,10,0,0,1,0,5,21,4,0,0,7,11,118,8,10,17,26,3
22,Capital                                 ,001,0007A,0123,247,2,1,6,10,2,1,0,6,17,0,2,2,3,8,57,5,6,14,11,3
22,Capital                                 ,001,0007A,0124,248,1,0,4,12,0,1,0,2,7,0,0,0,1,6,71,3,7,6,10,6
22,Capital                                 ,001,0007A,0129,450,0,0,5,15,1,0,0,7,19,0,1,0,11,13,147,5,8,15,32,6
22,Capital                                 ,001,0007A,0130,450,0,0,7,21,0,1,0,3,17,0,1,2,8,19,138,9,10,20,20,6
22,Capital                                 ,001,0007A,0131,450,1,1,11,26,0,1,0,8,13,2,0,0,7,9,136,4,9,26,27,6
22,Capital                                 ,001,0007A,0132,450,2,3,11,21,0,0,0,2,7,1,1,1,11,9,149,11,11,19,43,9
22,Capital                                 ,001,0007A,0133,450,0,0,14,17,0,1,0,2,17,4,0,1,6,17,145,2,15,17,23,4
22,Capital                                 ,001,0007A,0134,450,0,0,5,21,0,0,0,4,14,2,1,0,12,10,147,5,13,16,20,7
22,Capital                                 ,001,0007A,0135,450,4,0,10,26,0,2,0,6,13,2,2,0,11,11,136,6,8,15,13,11
22,Capital                                 ,001,0007A,0136,450,5,5,12,28,0,0,0,2,16,2,1,1,10,10,158,5,6,22,12,0
22,Capital                                 ,001,0007A,0137,450,0,0,12,19,2,1,0,4,9,0,2,1,7,10,157,8,15,8,18,7
22,Capital                                 ,001,0007A,0138,450,7,3,5,31,2,1,0,6,8,2,1,1,4,8,140,7,11,15,21,2
22,Capital                                 ,001,0007A,0139,450,0,9,6,22,0,3,0,1,10,3,2,0,10,12,145,7,9,15,27,7
22,Capital                                 ,001,0007A,0140,450,0,5,10,20,1,1,0,4,20,3,0,2,13,7,144,7,5,14,29,2
22,Capital                                 ,001,0007A,0141,283,4,3,10,7,0,2,0,0,11,1,1,0,5,11,86,5,4,9,7,8
22,Capital                                 ,001,0007B,0125,450,4,11,11,12,1,3,0,7,15,2,0,1,5,15,126,7,7,22,26,7
