codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00062,00008,00005,00065,00063,00009,00002,00051,00064,00004
04,001,CAPITAL,01406,045734,0,0,15,9,4,10,48,2,38,98,2,0,0,9
04,001,CAPITAL,01406,045735,0,0,3,14,11,10,60,2,50,94,3,3,1,5
04,001,CAPITAL,01406,045736,0,0,10,15,7,6,46,1,50,110,0,8,2,4
04,001,CAPITAL,01406,045737,0,0,15,16,7,16,40,1,52,90,3,2,0,5
04,001,CAPITAL,01406,045738,0,0,11,18,10,11,34,2,36,103,4,3,0,8
04,001,CAPITAL,01406,045739,0,0,18,13,10,8,50,0,41,86,3,0,1,7
04,001,CAPITAL,01406,045740,0,0,6,12,12,10,35,2,39,98,2,1,0,9
04,001,CAPITAL,01406,045741,0,0,10,10,9,10,55,1,45,114,1,0,0,3
04,001,CAPITAL,01406,045742,0,0,16,10,8,4,45,0,49,100,1,3,0,7
04,001,CAPITAL,01406,045743,0,0,19,10,12,9,50,0,44,97,4,4,0,5
04,001,CAPITAL,01406,045744,0,0,3,10,13,12,48,1,40,101,2,1,0,6
04,001,CAPITAL,01406,045745,0,0,4,18,8,12,51,5,41,92,2,0,0,6
04,001,CAPITAL,01406,045746,0,0,1,9,12,9,54,0,53,91,0,2,0,9
04,001,CAPITAL,01406,045747,0,0,14,11,6,8,48,2,41,103,3,1,0,7
04,001,CAPITAL,01406,045748,0,0,12,13,11,10,38,0,36,113,3,4,1,9
04,001,CAPITAL,01406,045749,0,0,10,9,10,13,41,1,34,110,1,1,0,5
04,001,CAPITAL,01406,045750,0,0,11,9,6,6,51,1,61,97,2,0,0,6
04,001,CAPITAL,01406,045751,0,0,11,11,9,7,46,1,57,82,1,1,0,6
04,001,CAPITAL,01406,045752,0,0,9,7,11,15,53,1,48,104,1,2,0,4
04,001,CAPITAL,01406,045753,0,0,11,15,10,14,42,4,48,91,1,5,0,0
04,001,CAPITAL,01406,045754,0,0,5,16,8,22,35,1,55,84,4,0,0,10
04,001,CAPITAL,01406,045755,0,0,10,19,7,10,46,0,48,104,6,3,2,6
04,001,CAPITAL,01406,045756,0,0,7,12,7,16,40,1,36,117,4,1,0,2
04,001,CAPITAL,01406,045757,0,0,9,10,12,7,49,2,55,107,2,0,0,3
04,001,CAPITAL,01406,045758,0,0,12,14,8,16,47,1,37,106,2,7,0,4
04,001,CAPITAL,01406,045759,0,0,3,11,11,14,48,0,52,83,1,0,0,7
04,001,CAPITAL,01406,045760,0,0,0,35,3,14,33,0,57,97,1,3,0,9
04,001,CAPITAL,01406,045761,0,0,52,14,9,8,37,0,42,111,6,1,0,5
