codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00001,00008,00005,00011,00009,00059,00012,00013,00006,00018,00017,00058
02,003,ALMIRANTE BROWN,00180,007582,0,0,22,31,15,73,1,123,0,3,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007583,0,0,28,13,12,96,0,113,0,1,0,1,0,0,0
02,003,ALMIRANTE BROWN,00180,007584,0,0,8,33,19,70,0,148,0,1,1,0,1,0,0
02,003,ALMIRANTE BROWN,00180,007585,0,0,16,26,6,83,1,160,0,1,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007586,0,0,20,28,9,80,0,135,0,2,0,1,0,0,1
02,003,ALMIRANTE BROWN,00180,007587,0,0,36,18,12,97,0,113,0,1,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007588,0,0,10,20,8,75,0,152,0,2,1,0,3,1,0
02,003,ALMIRANTE BROWN,00180,007589,0,0,13,18,13,85,2,131,0,6,0,1,0,0,0
02,003,ALMIRANTE BROWN,00180,007590,0,0,17,21,20,73,1,145,0,4,0,3,1,0,0
02,003,ALMIRANTE BROWN,00180,007591,0,0,14,28,10,75,0,123,0,2,0,1,0,0,0
02,003,ALMIRANTE BROWN,00180,007592,0,0,12,27,10,71,3,153,0,3,1,0,0,1,0
02,003,ALMIRANTE BROWN,00180,007593,0,0,14,14,11,70,0,146,0,2,0,2,0,0,0
02,003,ALMIRANTE BROWN,00180,007594,0,0,12,32,6,52,0,167,0,5,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007595,0,0,15,23,8,77,0,148,0,2,0,0,0,0,1
02,003,ALMIRANTE BROWN,00180,007596,0,0,13,23,15,64,1,157,0,1,0,1,0,0,0
02,003,ALMIRANTE BROWN,00180,007597,0,0,17,28,9,71,0,145,0,3,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007598,0,0,17,25,14,70,0,144,0,2,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007599,0,0,15,20,18,78,1,132,0,7,0,1,0,0,0
02,003,ALMIRANTE BROWN,00180,007600,0,0,12,25,10,94,1,141,0,1,0,0,0,0,0
02,003,ALMIRANTE BROWN,00180,007601,0,0,18,24,11,82,1,135,0,6,0,3,0,0,0
02,003,ALMIRANTE BROWN,00180,007602,0,0,12,22,10,61,0,100,0,3,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007605,0,0,40,13,21,137,0,66,0,5,0,3,0,0,0
02,003,ALMIRANTE BROWN,00181,007606,0,0,20,26,11,130,1,92,0,4,1,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007607,0,0,14,15,13,159,0,76,0,4,0,1,0,0,0
02,003,ALMIRANTE BROWN,00181,007608,0,0,23,18,14,146,0,0,0,4,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007609,0,0,28,15,21,143,0,66,0,5,0,1,0,0,0
02,003,ALMIRANTE BROWN,00181,007610,0,0,23,28,13,140,0,68,0,2,0,3,0,0,0
02,003,ALMIRANTE BROWN,00181,007611,0,0,35,23,12,137,2,69,0,1,0,0,0,1,0
02,003,ALMIRANTE BROWN,00181,007612,0,0,25,18,12,148,0,81,0,1,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007613,0,0,12,19,18,144,2,68,0,2,0,1,0,0,0
02,003,ALMIRANTE BROWN,00181,007614,0,0,23,18,4,157,1,88,0,1,1,0,1,0,0
02,003,ALMIRANTE BROWN,00181,007615,0,0,20,19,21,120,1,109,0,4,0,1,0,1,0
02,003,ALMIRANTE BROWN,00181,007616,0,0,20,30,11,128,0,86,0,4,0,1,0,1,0
02,003,ALMIRANTE BROWN,00181,007617,0,0,25,23,17,158,1,60,0,6,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007618,0,0,15,25,10,133,0,87,0,2,0,1,0,2,0
02,003,ALMIRANTE BROWN,00181,007619,0,0,19,27,17,135,0,75,0,4,0,1,1,0,0
02,003,ALMIRANTE BROWN,00181,007620,0,0,9,11,13,156,1,79,0,2,0,1,0,1,1
02,003,ALMIRANTE BROWN,00181,007621,0,0,19,20,14,146,2,85,0,3,0,0,0,1,0
02,003,ALMIRANTE BROWN,00181,007622,0,0,16,16,15,155,2,60,0,6,1,2,0,0,0
02,003,ALMIRANTE BROWN,00181,007623,0,0,25,23,16,117,1,97,0,3,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007624,0,0,18,24,21,142,2,74,0,1,0,1,0,1,1
02,003,ALMIRANTE BROWN,00181,007625,0,0,20,23,18,124,1,82,0,2,1,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007626,0,0,19,30,21,123,1,88,0,0,1,1,0,0,0
02,003,ALMIRANTE BROWN,00181,007627,0,0,26,27,10,144,0,83,0,3,1,3,0,0,0
02,003,ALMIRANTE BROWN,00181,007628,0,0,21,24,14,150,2,83,0,2,0,0,0,0,1
02,003,ALMIRANTE BROWN,00181,007629,0,0,15,20,19,118,2,99,0,6,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007630,0,0,14,23,15,160,0,75,0,6,0,1,0,1,0
02,003,ALMIRANTE BROWN,00181,007631,0,0,12,23,19,141,1,86,0,6,0,1,0,1,0
02,003,ALMIRANTE BROWN,00181,007632,0,0,14,28,6,153,0,84,0,0,1,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007633,0,0,16,23,18,136,2,80,0,6,2,1,0,0,1
02,003,ALMIRANTE BROWN,00181,007634,0,0,34,23,11,113,4,98,0,2,0,1,0,0,0
02,003,ALMIRANTE BROWN,00181,007635,0,0,31,25,15,160,0,60,0,5,0,2,0,1,0
02,003,ALMIRANTE BROWN,00181,007636,0,0,20,23,17,111,3,98,0,7,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007638,0,0,34,24,12,154,0,50,0,2,2,8,0,0,0
02,003,ALMIRANTE BROWN,00181,007639,0,0,26,16,12,160,1,67,0,5,0,0,2,0,0
02,003,ALMIRANTE BROWN,00181,007640,0,0,21,19,12,142,0,64,0,1,2,0,1,0,0
02,003,ALMIRANTE BROWN,00181,007641,0,0,17,21,26,148,1,71,0,2,0,1,0,0,0
02,003,ALMIRANTE BROWN,00181,007642,0,0,0,15,17,163,1,82,0,2,1,0,0,1,0
02,003,ALMIRANTE BROWN,00181,007643,0,0,25,32,15,141,0,63,0,0,0,0,0,1,0
02,003,ALMIRANTE BROWN,00181,007644,0,0,12,28,12,171,1,69,0,1,0,2,0,0,0
02,003,ALMIRANTE BROWN,00181,007645,0,0,31,23,17,132,1,76,0,9,1,1,0,0,0
02,003,ALMIRANTE BROWN,00181,007646,0,0,19,20,14,125,0,95,0,3,0,2,0,1,1
02,003,ALMIRANTE BROWN,00181,007647,0,0,23,19,12,135,0,81,0,3,1,3,0,0,1
02,003,ALMIRANTE BROWN,00181,007648,0,0,17,17,12,167,5,61,0,3,0,7,0,1,0
02,003,ALMIRANTE BROWN,00181,007649,0,0,13,20,16,140,0,94,0,6,1,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007650,0,0,18,27,11,166,0,76,0,2,1,1,0,0,2
02,003,ALMIRANTE BROWN,00181,007651,0,0,21,17,15,140,0,91,0,4,1,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007652,0,0,21,33,10,148,2,60,0,3,0,2,0,0,0
02,003,ALMIRANTE BROWN,00181,007653,0,0,12,24,18,139,1,72,0,4,2,9,0,0,0
02,003,ALMIRANTE BROWN,00181,007654,0,0,17,31,10,145,3,84,0,5,0,1,0,1,1
02,003,ALMIRANTE BROWN,00181,007655,0,0,22,20,13,142,4,87,0,4,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007656,0,0,28,19,10,154,1,82,0,3,0,1,1,1,0
02,003,ALMIRANTE BROWN,00181,007657,0,0,23,28,9,144,1,94,0,2,0,2,0,0,0
02,003,ALMIRANTE BROWN,00181,007658,0,0,20,16,20,159,2,80,0,3,0,1,0,0,0
02,003,ALMIRANTE BROWN,00181,007659,0,0,11,22,15,156,0,74,0,4,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007660,0,0,21,18,17,142,1,80,0,4,0,3,0,0,0
02,003,ALMIRANTE BROWN,00181,007661,0,0,20,27,11,150,0,75,0,4,0,3,0,1,1
02,003,ALMIRANTE BROWN,00181,007662,0,0,12,16,14,175,1,68,0,2,0,1,0,1,1
02,003,ALMIRANTE BROWN,00181,007663,0,0,20,16,15,161,1,61,0,5,0,3,0,1,0
02,003,ALMIRANTE BROWN,00181,007664,0,0,17,29,22,129,1,80,0,3,0,1,0,1,0
02,003,ALMIRANTE BROWN,00181,007665,0,0,17,23,27,153,1,69,0,5,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007666,0,0,26,18,11,168,0,73,0,3,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007667,0,0,19,27,9,137,1,91,0,2,0,2,0,1,0
02,003,ALMIRANTE BROWN,00181,007668,0,0,14,28,12,122,1,94,0,3,1,0,0,1,0
02,003,ALMIRANTE BROWN,00181,007669,0,0,18,25,19,126,1,69,0,4,0,1,0,1,0
02,003,ALMIRANTE BROWN,00181,007670,0,0,24,27,8,151,0,81,0,0,0,5,1,0,0
02,003,ALMIRANTE BROWN,00181,007671,0,0,22,13,10,155,4,72,0,6,0,0,0,0,1
02,003,ALMIRANTE BROWN,00181,007672,0,0,22,20,15,150,1,77,1,1,0,1,1,0,0
02,003,ALMIRANTE BROWN,00181,007673,0,0,14,26,13,146,0,71,0,3,0,2,0,0,0
02,003,ALMIRANTE BROWN,00181,007674,0,0,24,18,13,162,0,48,0,3,0,2,0,0,1
02,003,ALMIRANTE BROWN,00181,007675,0,0,14,32,12,137,0,68,0,5,0,0,2,2,2
02,003,ALMIRANTE BROWN,00181,007676,0,0,25,15,11,180,2,63,0,6,0,0,0,0,1
02,003,ALMIRANTE BROWN,00181,007677,0,0,17,18,12,149,2,87,0,3,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007678,0,0,18,26,10,162,2,62,0,4,0,2,1,0,0
02,003,ALMIRANTE BROWN,00181,007679,0,0,19,0,10,131,1,80,0,2,0,1,0,0,0
02,003,ALMIRANTE BROWN,00181,007680,0,0,29,24,10,135,1,86,0,4,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007681,0,0,19,25,10,141,1,94,0,3,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007682,0,0,25,14,15,127,2,96,0,2,0,1,0,0,0
02,003,ALMIRANTE BROWN,00181,007683,0,0,12,20,14,146,1,89,0,2,0,0,0,0,1
02,003,ALMIRANTE BROWN,00181,007684,0,0,15,18,20,127,1,88,0,4,0,1,0,0,1
02,003,ALMIRANTE BROWN,00181,007685,0,0,0,19,12,136,3,90,0,3,0,0,2,1,1
02,003,ALMIRANTE BROWN,00181,007686,0,0,19,18,18,148,0,71,0,1,0,0,0,0,0
02,003,ALMIRANTE BROWN,00181,007687,0,0,20,13,7,169,1,72,0,8,0,1,0,0,0
02,003,ALMIRANTE BROWN,00181,007688,0,0,19,22,14,146,0,70,0,3,2,1,0,0,0
02,003,ALMIRANTE BROWN,00181,007689,0,0,14,21,15,140,0,80,0,2,0,3,0,0,0
02,003,ALMIRANTE BROWN,00181,007690,0,0,22,16,8,175,0,42,0,3,0,2,1,0,0
02,003,ALMIRANTE BROWN,00181,007691,0,0,4,6,8,43,0,47,0,1,0,0,1,0,0
02,003,ALMIRANTE BROWN,00182,007695,0,0,21,21,6,159,0,67,0,2,3,2,0,0,0
02,003,ALMIRANTE BROWN,00182,007696,0,0,19,16,17,173,0,47,0,2,2,1,0,0,0
02,003,ALMIRANTE BROWN,00182,007697,0,0,18,20,12,196,0,43,1,3,2,0,0,0,1
02,003,ALMIRANTE BROWN,00182,007698,0,0,26,17,12,169,1,44,0,4,1,1,0,0,0
02,003,ALMIRANTE BROWN,00182,007699,0,0,0,30,10,163,1,47,0,2,0,0,0,0,0
02,003,ALMIRANTE BROWN,00182,007700,0,0,24,20,10,163,0,55,0,5,1,1,0,0,0
02,003,ALMIRANTE BROWN,00182,007701,0,0,30,26,11,138,0,76,0,1,2,0,0,0,0
02,003,ALMIRANTE BROWN,00182,007702,0,0,18,23,18,154,1,59,0,4,0,2,0,0,1
02,003,ALMIRANTE BROWN,00182,007703,0,0,13,26,11,164,0,40,0,6,1,0,0,0,0
02,003,ALMIRANTE BROWN,00182,007704,0,0,19,20,9,163,1,46,0,2,1,1,0,0,0
02,003,ALMIRANTE BROWN,00182,007705,0,0,22,15,14,177,0,51,0,3,0,1,0,0,0
02,003,ALMIRANTE BROWN,00182,007706,0,0,10,12,8,162,2,56,0,1,0,0,0,0,1
02,003,ALMIRANTE BROWN,00182,007707,0,0,26,22,11,150,0,58,0,1,0,1,0,0,0
02,003,ALMIRANTE BROWN,00182,007708,0,0,19,18,14,160,0,48,0,4,1,4,0,0,0
02,003,ALMIRANTE BROWN,00182,007709,0,0,27,25,15,149,2,70,0,2,1,0,0,0,0
02,003,ALMIRANTE BROWN,00182,007710,0,0,25,18,13,173,0,37,0,4,1,1,0,1,0
02,003,ALMIRANTE BROWN,00182,007711,0,0,29,18,15,172,0,52,0,5,2,0,0,0,0
02,003,ALMIRANTE BROWN,00182,007712,0,0,11,20,14,179,1,53,0,3,0,0,0,1,0
02,003,ALMIRANTE BROWN,00182,007713,0,0,20,14,18,155,2,50,0,3,1,0,0,0,1
02,003,ALMIRANTE BROWN,00182,007714,0,0,18,9,14,164,1,56,0,5,1,0,0,0,0
02,003,ALMIRANTE BROWN,00182,007715,0,0,26,17,13,159,0,58,0,3,1,0,1,0,0
02,003,ALMIRANTE BROWN,00182,007716,0,0,16,24,16,169,1,43,0,4,1,3,0,0,0
02,003,ALMIRANTE BROWN,00182,007717,0,0,19,17,7,162,0,54,0,5,1,1,0,0,2
02,003,ALMIRANTE BROWN,00182,007718,0,0,24,24,17,137,1,63,0,3,0,0,0,2,1
02,003,ALMIRANTE BROWN,00182,007719,0,0,25,27,17,139,1,74,0,2,0,1,1,0,0
02,003,ALMIRANTE BROWN,00182,007720,0,0,18,11,9,166,1,64,0,0,1,1,0,0,1
