codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00037,00047,00052,00081,00086,00109
24,002,Río Grande,05667,098279,0,0,25,77,17,32,6,6,56
24,002,Río Grande,05667,098280,0,0,30,87,18,35,9,6,43
24,002,Río Grande,05667,098281,0,0,28,80,7,39,10,6,65
24,002,Río Grande,05667,098282,0,0,27,73,20,25,10,5,56
24,002,Río Grande,05667,098283,0,0,41,76,17,31,4,9,46
24,002,Río Grande,05667,098284,0,0,16,80,11,33,7,10,56
24,002,Río Grande,05667,098285,0,0,30,82,14,33,5,4,43
24,002,Río Grande,05667,098286,0,0,37,87,28,35,7,2,36
24,002,Río Grande,05667,098287,0,0,20,98,19,35,2,10,38
24,002,Río Grande,05667,098288,0,0,21,91,15,41,5,5,45
24,002,Río Grande,05667,098289,0,0,29,82,19,34,4,6,54
24,002,Río Grande,05667,098290,0,0,21,84,18,36,9,10,42
24,002,Río Grande,05667,098291,0,0,28,74,20,49,10,7,47
24,002,Río Grande,05667,098292,0,0,20,72,21,42,3,7,58
24,002,Río Grande,05667,098293,0,0,16,105,29,29,2,6,33
24,002,Río Grande,05667,098294,0,0,36,70,17,31,6,8,52
24,002,Río Grande,05667,098295,0,0,25,88,19,28,5,11,50
24,002,Río Grande,05667,098296,0,0,28,87,16,34,6,7,51
24,002,Río Grande,05667,098297,0,0,25,81,18,13,32,5,62
24,002,Río Grande,05667,098298,0,0,31,81,12,35,3,1,48
24,002,Río Grande,05667,098299,0,0,17,92,24,33,5,9,60
24,002,Río Grande,05667,098300,0,0,23,99,21,37,8,4,47
24,002,Río Grande,05667,098301,0,0,25,90,16,35,7,5,56
24,002,Río Grande,05667,098302,0,0,26,87,20,36,8,6,47
24,002,Río Grande,05667,098303,0,0,52,94,20,29,5,2,42
24,002,Río Grande,05667,098304,0,0,21,91,18,32,7,12,51
24,002,Río Grande,05667,098305,0,0,37,89,16,44,4,7,51
24,002,Río Grande,05667,098306,0,0,21,76,18,39,4,10,54
24,002,Río Grande,05667,098307,0,0,15,85,13,37,8,1,65
24,002,Río Grande,05667,098308,0,0,23,98,17,42,7,10,47
24,002,Río Grande,05667,098309,0,0,21,67,20,31,11,6,58
24,002,Río Grande,05667,098310,0,0,30,85,17,33,4,4,57
24,002,Río Grande,05667,098311,0,0,32,79,20,40,4,11,59
24,002,Río Grande,05667,098312,0,0,33,86,22,32,4,4,52
24,002,Río Grande,05667,098313,0,0,23,91,18,41,3,5,50
24,002,Río Grande,05667,098314,0,0,26,72,19,27,1,11,58
24,002,Río Grande,05667,098315,0,0,15,70,22,38,2,4,39
24,002,Río Grande,05667,101400,0,0,0,0,0,0,0,0,0
24,002,Río Grande,05667,101401,0,0,0,0,0,0,0,0,0
24,002,Río Grande,05667,101402,0,0,0,0,0,0,0,0,0
24,002,Río Grande,05668,098316,0,0,16,83,15,50,3,4,50
24,002,Río Grande,05668,098317,0,0,24,72,17,45,9,6,51
24,002,Río Grande,05668,098318,0,0,14,94,24,47,7,1,42
24,002,Río Grande,05668,098319,0,0,27,76,16,44,7,6,38
24,002,Río Grande,05668,098320,0,0,33,77,18,36,5,3,53
24,002,Río Grande,05668,098321,0,0,24,83,14,49,4,13,31
24,002,Río Grande,05668,098322,0,0,27,84,16,39,3,3,39
24,002,Río Grande,05668,098323,0,0,24,83,18,39,9,6,35
24,002,Río Grande,05668,098324,0,0,29,92,19,29,3,7,61
24,002,Río Grande,05668,098325,0,0,23,77,15,30,7,9,42
24,002,Río Grande,05668,098326,0,0,22,68,13,52,8,7,39
24,002,Río Grande,05668,098327,0,0,26,72,12,43,5,10,47
