codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0014,0022,0540,0045,0112,0119,0124,0130,0160,0501,0527,0536,0563
23,Capital,001,0007A,1651,339,8,10,0,5,2,540,1,10,2,2,21,1,82,33,65,10
23,Capital,001,0008 ,0103,338,2,3,1,7,3,540,1,7,3,6,29,2,70,17,68,11
23,Capital,001,0008 ,0104,338,3,3,3,11,0,540,1,12,0,0,22,1,84,19,80,9
23,Capital,001,0008 ,0105,338,4,2,1,7,4,540,0,9,3,3,30,1,73,16,83,15
23,Capital,001,0008 ,0106,337,2,3,1,5,4,540,0,17,4,1,22,1,80,23,76,10
23,Capital,001,0008 ,0107,337,1,8,1,8,2,540,1,10,4,3,28,0,67,27,83,12
23,Capital,001,0008 ,0108,337,4,1,0,6,3,540,2,16,2,2,24,0,60,28,73,10
23,Capital,001,0008 ,0109,337,4,3,0,8,4,540,1,24,0,4,23,2,67,22,69,9
23,Capital,001,0008 ,0110,337,4,2,3,3,5,540,0,10,4,1,27,0,84,28,71,10
23,Capital,001,0008 ,1652,329,0,4,0,3,2,540,0,8,2,1,19,2,58,33,105,2
23,Capital,001,0008 ,1653,329,5,5,3,4,2,540,2,16,1,8,29,3,56,23,67,8
23,Capital,001,0008 ,1654,329,4,4,1,10,0,540,2,20,8,2,18,0,55,34,80,5
23,Capital,001,0008 ,1655,329,4,9,2,10,3,540,2,14,4,4,18,3,60,26,69,6
23,Capital,001,0008 ,1656,329,1,1,1,1,5,540,3,9,2,1,36,5,61,25,70,5
23,Capital,001,0008 ,1657,329,1,11,3,8,2,540,0,9,4,4,32,0,58,36,64,3
23,Capital,001,0008 ,1658,328,1,11,0,6,2,540,0,11,2,5,26,1,86,22,45,15
23,Capital,001,0008A,0111,332,4,2,0,5,2,540,0,9,2,3,22,0,88,17,77,8
23,Capital,001,0008A,0112,332,2,7,0,3,3,540,1,12,3,5,18,0,73,22,74,5
23,Capital,001,0008A,0113,332,1,7,2,8,1,540,1,9,7,2,23,1,91,22,56,7
23,Capital,001,0008A,0114,332,2,3,1,2,2,540,0,12,5,6,22,0,89,24,72,10
23,Capital,001,0008A,0115,332,3,4,0,3,1,540,2,9,4,0,32,0,80,21,66,8
23,Capital,001,0008A,0116,332,4,3,1,10,0,540,0,15,6,2,25,1,85,20,65,11
23,Capital,001,0008A,0117,332,2,9,2,4,3,540,4,11,5,1,24,1,82,27,68,5
23,Capital,001,0008A,0118,332,2,4,1,3,1,540,0,10,7,3,32,0,76,20,60,11
23,Capital,001,0008A,0119,332,2,12,1,4,2,540,0,6,2,7,26,1,77,20,60,7
23,Capital,001,0008A,0120,332,3,7,0,5,3,540,1,17,2,3,19,2,79,26,63,10
23,Capital,001,0008A,0121,331,3,6,2,6,3,540,3,4,5,4,16,0,94,21,61,7
23,Capital,001,0008A,0122,331,7,3,0,8,0,540,1,8,3,2,23,1,86,33,63,10
23,Capital,001,0008A,0123,331,3,8,1,3,1,540,1,7,4,5,30,1,79,29,69,7
23,Capital,001,0008A,1659,342,3,2,2,6,3,540,0,16,5,0,16,3,91,34,57,6
23,Capital,001,0008A,1660,341,6,8,1,4,1,540,3,9,1,6,20,0,76,34,70,10
23,Capital,001,0008A,1661,341,3,9,4,4,2,540,1,13,7,5,22,5,67,38,65,8
23,Capital,001,0008A,1662,341,7,10,0,9,2,540,0,13,6,2,30,1,71,30,65,9
23,Capital,001,0008A,1663,341,6,3,1,3,0,540,0,23,11,0,18,1,56,33,62,8
23,Capital,001,0008A,1664,341,3,10,0,3,2,540,1,19,7,4,22,0,66,35,73,12
23,Capital,001,0008A,1665,341,3,8,0,5,7,540,1,17,3,2,21,1,62,40,65,13
23,Capital,001,0008A,1666,341,5,7,0,1,4,540,1,12,3,1,31,0,78,26,66,5
23,Capital,001,0008A,1667,341,6,8,0,4,2,540,0,10,1,5,19,2,71,32,70,8
23,Capital,001,0008A,1668,341,3,2,3,7,2,540,5,11,5,3,19,2,74,31,52,10
23,Capital,001,0008A,1669,341,0,3,1,2,1,540,2,14,4,3,25,0,66,41,61,7
23,Capital,001,0009 ,0124,337,0,7,0,7,3,540,0,6,6,1,27,1,118,37,47,7
23,Capital,001,0009 ,0125,337,3,3,2,8,2,540,4,8,15,3,33,0,98,32,47,8
23,Capital,001,0009 ,0126,337,2,2,0,7,1,540,0,8,3,4,36,0,118,23,45,10
23,Capital,001,0009 ,0127,337,2,3,0,4,2,540,0,8,2,3,27,0,139,20,41,9
23,Capital,001,0009 ,0128,337,0,4,0,5,2,540,0,11,13,1,28,0,112,22,54,5
23,Capital,001,0009 ,0129,337,2,2,2,4,1,540,0,8,7,0,29,2,121,34,40,9
23,Capital,001,0009 ,0130,337,1,7,1,6,3,540,2,10,7,0,27,0,140,21,37,7
23,Capital,001,0009 ,0131,337,3,3,0,3,0,540,1,14,8,0,25,0,134,21,38,4
23,Capital,001,0009 ,0132,337,6,8,2,2,2,540,0,8,5,2,24,0,113,26,44,6
23,Capital,001,0009 ,0133,337,2,3,2,4,0,540,1,16,8,1,25,2,162,23,51,12
23,Capital,001,0009 ,0134,337,1,5,2,3,2,540,3,9,6,4,19,1,108,23,53,6
23,Capital,001,0009 ,0135,337,1,8,0,1,1,540,0,10,3,4,24,0,115,21,48,8
