codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0022,0079,0083,0178,0185,0187,0262,0327,0503,0515,0525,0531,0567,0576,0580
01,Comuna 01,001,0005 ,0081,348,5,11,1,0,5,1,0,0,1,1,1,5,8,16,36,1,80,38
01,Comuna 01,001,0005 ,0082,347,4,0,0,1,0,0,1,0,5,0,0,5,8,17,23,2,80,50
01,Comuna 01,001,0005 ,0083,347,9,3,1,3,3,1,2,1,4,0,2,9,8,10,28,3,78,29
01,Comuna 01,001,0005 ,0084,347,4,8,1,1,4,2,2,1,3,1,0,4,9,29,32,3,63,27
01,Comuna 01,001,0005 ,0085,348,2,5,0,0,0,0,1,1,2,0,0,13,10,20,31,0,92,45
01,Comuna 01,001,0005 ,0086,346,1,2,0,2,1,1,1,1,7,3,0,9,7,17,43,3,62,45
01,Comuna 01,001,0005 ,0087,347,1,1,2,1,1,0,0,0,0,0,0,12,11,14,19,6,91,57
01,Comuna 01,001,0005 ,0088,347,8,1,0,0,1,0,0,0,3,0,1,17,7,11,26,3,79,46
01,Comuna 01,001,0005 ,0089,347,0,0,0,2,1,1,0,0,4,1,0,4,11,15,23,1,77,53
01,Comuna 01,001,0005 ,0090,346,7,5,0,1,1,1,0,0,1,0,0,11,13,18,27,2,72,38
01,Comuna 01,001,0005 ,0091,346,7,7,0,1,2,1,0,2,5,0,0,9,11,12,25,1,71,42
01,Comuna 01,001,0005 ,0092,348,0,0,0,0,1,0,0,0,3,1,0,5,12,18,31,0,60,54
01,Comuna 01,001,0005 ,0093,345,4,4,1,0,0,0,0,2,2,1,0,7,10,20,25,0,66,42
01,Comuna 01,001,0005 ,0094,348,6,11,0,3,1,0,0,0,1,1,1,8,7,16,21,2,88,59
01,Comuna 01,001,0005 ,0095,346,0,2,2,2,2,1,1,0,3,2,1,4,8,19,29,4,60,52
01,Comuna 01,001,0005 ,0096,345,1,4,0,1,3,0,0,0,3,2,1,12,7,22,27,3,65,66
01,Comuna 01,001,0005 ,0097,346,4,11,1,1,0,0,0,0,4,0,1,6,3,16,26,2,82,56
01,Comuna 01,001,0006 ,0098,345,4,0,0,1,0,0,1,1,3,1,0,6,8,0,20,1,23,189
01,Comuna 01,001,0006 ,0099,345,4,0,0,0,1,0,1,0,2,2,0,3,4,0,19,0,15,195
01,Comuna 01,001,0006 ,0100,345,1,3,0,0,0,0,5,0,1,1,0,2,1,0,13,1,10,197
01,Comuna 01,001,0006 ,0101,345,2,0,0,0,0,0,0,0,3,2,0,1,3,0,17,0,19,197
01,Comuna 01,001,0006 ,0102,345,0,1,1,0,0,0,0,0,1,1,0,3,1,1,18,1,12,192
01,Comuna 01,001,0006 ,0103,345,0,2,0,0,0,1,1,0,3,0,1,1,5,0,14,1,5,204
01,Comuna 01,001,0006 ,0104,345,2,1,0,0,0,0,1,0,3,3,0,0,6,1,22,0,9,188
01,Comuna 01,001,0006 ,0105,345,2,3,0,1,1,0,2,1,0,0,0,2,4,1,15,1,18,165
