codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0008,0014,0038,0045,0187,0188,0243,0325,0326,0327,0328,0329
10,General Belgrano                        ,001,0009 ,0105,249,30,3,0,0,1,1,25,0,0,23,21,23,8,60
10,General Belgrano                        ,001,0009 ,0703,169,18,3,1,1,0,0,28,0,3,15,17,6,11,37
10,General Belgrano                        ,001,0010A,0106,400,50,1,2,1,1,0,68,2,4,16,49,20,7,72
10,General Belgrano                        ,001,0010A,0107,400,0,0,0,0,3,0,66,0,2,24,50,27,7,68
10,General Belgrano                        ,001,0010A,0108,400,3,54,1,0,2,0,75,1,3,20,44,14,17,73
10,General Belgrano                        ,001,0010A,0109,400,38,12,1,4,4,0,69,1,3,17,46,26,17,84
10,General Belgrano                        ,001,0010A,0110,400,0,0,0,2,2,1,88,0,5,18,35,36,13,59
10,General Belgrano                        ,001,0010A,0111,400,0,8,1,0,5,1,66,0,4,22,42,23,4,82
10,General Belgrano                        ,001,0010A,0112,400,0,0,1,1,4,1,83,2,7,28,44,14,15,68
10,General Belgrano                        ,001,0010A,0113,400,61,0,0,1,1,0,78,3,2,23,42,26,11,73
10,General Belgrano                        ,001,0010A,0114,400,0,0,1,0,3,0,54,0,2,18,41,32,11,76
10,General Belgrano                        ,001,0010A,0115,400,44,6,3,2,5,0,78,0,1,85,41,25,7,66
10,General Belgrano                        ,001,0010A,0116,400,42,4,1,2,0,0,74,2,5,17,43,26,4,76
10,General Belgrano                        ,001,0010A,0117,400,42,12,2,3,3,0,77,0,9,20,30,18,11,90
10,General Belgrano                        ,001,0010A,0118,400,54,3,1,1,2,0,66,0,4,13,48,23,12,79
10,General Belgrano                        ,001,0010A,0119,400,1,3,1,4,3,0,65,3,1,20,38,27,10,78
10,General Belgrano                        ,001,0010A,0120,400,0,0,1,1,5,0,80,2,2,17,49,23,8,75
10,General Belgrano                        ,001,0010A,0121,400,60,7,0,0,0,0,72,0,0,0,39,23,13,98
10,General Belgrano                        ,001,0010A,0122,400,0,0,2,0,2,0,80,1,4,26,37,27,7,77
10,General Belgrano                        ,001,0010A,0123,400,0,0,0,0,0,0,78,0,0,18,43,26,9,33
10,General Belgrano                        ,001,0010A,0124,400,0,0,1,2,3,0,75,1,1,22,38,33,8,74
10,General Belgrano                        ,001,0010A,0125,400,5,3,3,0,1,0,64,3,4,16,47,25,12,74
10,General Belgrano                        ,001,0010A,0126,400,96,8,1,4,4,0,55,2,4,20,45,31,16,68
10,General Belgrano                        ,001,0010A,0127,400,0,0,0,0,0,0,39,0,1,23,57,27,9,89
10,General Belgrano                        ,001,0010A,0128,400,0,5,1,3,2,0,84,0,0,11,48,29,8,88
10,General Belgrano                        ,001,0010A,0129,400,4,8,1,0,4,0,71,0,2,0,49,14,16,69
10,General Belgrano                        ,001,0010A,0130,400,251,0,0,0,3,2,77,0,5,20,46,25,4,69
10,General Belgrano                        ,001,0010A,0131,400,0,0,1,2,2,0,69,1,4,18,37,20,15,85
10,General Belgrano                        ,001,0010A,0132,400,0,0,1,0,1,3,56,2,2,25,58,16,8,83
10,General Belgrano                        ,001,0010A,0133,400,0,0,1,1,2,0,58,1,4,22,62,26,9,82
10,General Belgrano                        ,001,0010A,0134,400,0,0,0,1,3,0,64,2,1,16,45,24,11,81
10,General Belgrano                        ,001,0010A,0135,400,0,0,3,3,1,3,68,1,0,21,46,38,6,74
10,General Belgrano                        ,001,0010A,0136,400,0,0,3,1,3,1,76,0,3,27,45,13,8,80
10,General Belgrano                        ,001,0010A,0137,400,1,4,1,3,0,0,73,0,3,0,47,23,10,96
10,General Belgrano                        ,001,0010A,0138,400,0,0,0,2,0,1,56,0,5,16,49,24,13,89
10,General Belgrano                        ,001,0010A,0139,400,0,0,1,0,0,0,63,0,1,20,42,20,13,107
10,General Belgrano                        ,001,0010A,0140,400,2,7,1,3,2,0,77,0,1,8,37,18,10,93
10,General Belgrano                        ,001,0010A,0141,400,7,8,0,1,3,1,53,1,4,11,47,26,14,89
10,General Belgrano                        ,001,0010A,0142,400,2,0,2,2,5,1,55,0,2,21,54,27,11,77
10,General Belgrano                        ,001,0010A,0143,400,45,5,1,1,1,0,71,0,4,16,29,18,13,108
10,General Belgrano                        ,001,0010A,0144,400,0,0,0,2,4,1,72,4,5,23,32,19,11,88
10,General Belgrano                        ,001,0010A,0145,400,0,0,0,0,2,0,62,4,3,18,48,37,6,88
10,General Belgrano                        ,001,0010A,0146,400,54,14,1,0,2,4,63,6,2,21,47,27,10,73
10,General Belgrano                        ,001,0010A,0147,400,4,0,2,1,1,0,70,1,4,15,39,24,10,92
10,General Belgrano                        ,001,0010A,0148,400,56,5,1,1,4,1,73,2,4,19,33,22,11,80
