codprov,depto,coddepto,circuito,mesa,electores,blancos,nulos,0501,0548
09,Formosa,001,0005 ,0120,423,9,8,209,95
09,Formosa,001,0005 ,0121,423,15,17,199,90
09,Formosa,001,0005 ,0122,423,16,11,193,101
09,Formosa,001,0005 ,0123,423,11,1,224,79
09,Formosa,001,0005 ,0124,423,8,5,192,109
09,Formosa,001,0005 ,0125,423,3,10,189,94
09,Formosa,001,0005 ,0126,423,0,6,203,83
09,Formosa,001,0005 ,0127,423,8,3,213,85
09,Formosa,001,0005 ,0128,423,18,13,188,106
09,Formosa,001,0005 ,0129,423,8,10,201,99
09,Formosa,001,0005 ,0130,423,2,4,201,106
09,Formosa,001,0005 ,0131,423,5,5,213,88
09,Formosa,001,0005 ,0132,423,6,5,178,112
09,Formosa,001,0005 ,0133,423,16,8,195,79
09,Formosa,001,0005 ,0134,423,7,10,194,89
09,Formosa,001,0005 ,0135,423,7,6,186,100
09,Formosa,001,0005 ,0136,422,17,7,186,91
09,Formosa,001,0005 ,0137,422,2,6,189,100
09,Formosa,001,0005 ,0138,422,6,16,191,90
09,Formosa,001,0005 ,0139,422,3,5,185,101
09,Formosa,001,0005 ,0140,422,6,13,168,113
09,Formosa,001,0005 ,0141,422,6,11,191,94
09,Formosa,001,0005 ,0142,422,7,10,181,109
09,Formosa,001,0005 ,0143,422,7,6,208,105
09,Formosa,001,0005 ,0144,422,9,18,193,108
09,Formosa,001,0005 ,0145,422,4,10,189,104
09,Formosa,001,0005 ,0146,422,3,21,191,93
09,Formosa,001,0005 ,0147,422,6,12,192,120
09,Formosa,001,0005 ,0618,431,23,0,168,94
09,Formosa,001,0005 ,0619,431,0,0,152,91
09,Formosa,001,0005 ,0620,431,17,11,193,74
09,Formosa,001,0005 ,0621,431,13,11,151,109
09,Formosa,001,0005 ,0622,431,7,10,175,104
09,Formosa,001,0005 ,0623,431,0,12,184,91
09,Formosa,001,0005 ,0624,431,8,5,174,94
09,Formosa,001,0005 ,0625,431,11,6,185,88
09,Formosa,001,0005 ,0626,431,16,5,169,78
09,Formosa,001,0005 ,0627,431,11,3,173,98
09,Formosa,001,0005 ,0628,431,16,4,181,97
09,Formosa,001,0005 ,0629,431,9,6,152,108
09,Formosa,001,0005 ,0630,431,13,10,178,80
09,Formosa,001,0005 ,0631,431,5,0,179,86
09,Formosa,001,0005 ,0632,431,7,5,191,87
09,Formosa,001,0005 ,0633,431,16,7,167,94
09,Formosa,001,0005 ,0634,431,13,11,180,91
