codprov,coddepto,depto,circuito,mesa,electores,nulos,blancos,00024,00036,00037,00039,00050,00108
21,002,Caseros,04607,084294,0,0,6,26,6,90,0,130,6
21,002,Caseros,04607,084295,0,0,6,28,4,103,0,123,7
21,002,Caseros,04607,084296,0,0,9,29,9,128,0,80,0
21,002,Caseros,04607,084297,0,0,0,31,6,116,0,111,1
21,002,Caseros,04607,084298,0,0,6,30,3,100,0,128,9
21,002,Caseros,04607,084299,0,0,6,29,5,81,0,159,8
21,002,Caseros,04607,084300,0,0,8,31,3,114,0,92,4
21,002,Caseros,04607,084301,0,0,2,34,4,68,0,172,5
21,002,Caseros,04607,084302,0,0,2,31,5,85,0,146,8
21,002,Caseros,04607,084303,0,0,3,31,4,98,0,135,3
21,002,Caseros,04607,084304,0,0,5,19,4,108,0,113,4
21,002,Caseros,04607,084305,0,0,8,28,8,104,0,135,8
21,002,Caseros,04607,084306,0,0,5,33,7,92,0,128,5
21,002,Caseros,04607,084307,0,0,6,34,5,97,0,113,4
21,002,Caseros,04607,084308,0,0,6,21,3,126,0,104,9
21,002,Caseros,04607,084309,0,0,8,32,6,105,0,112,2
21,002,Caseros,04607,084310,0,0,5,25,10,111,0,118,6
21,002,Caseros,04607,084311,0,0,11,24,7,101,0,118,6
21,002,Caseros,04607,084312,0,0,8,30,1,76,0,155,7
21,002,Caseros,04607,084313,0,0,8,35,4,82,0,154,5
21,002,Caseros,04607,084314,0,0,7,15,6,91,0,159,6
21,002,Caseros,04607,084315,0,0,6,25,7,86,0,156,5
21,002,Caseros,04607,084316,0,0,9,33,9,74,0,147,6
21,002,Caseros,04607,084317,0,0,10,31,10,58,0,160,4
21,002,Caseros,04607,084318,0,0,7,28,6,84,0,145,9
21,002,Caseros,04607,084319,0,0,6,29,2,48,0,188,9
21,002,Caseros,04607,084320,0,0,14,18,7,94,0,150,9
21,002,Caseros,04607,084321,0,0,3,39,4,101,0,123,9
21,002,Caseros,04607,084322,0,0,6,26,7,97,0,129,9
21,002,Caseros,04607,084323,0,0,6,34,4,94,0,125,4
21,002,Caseros,04607,084324,0,0,5,42,3,91,0,129,7
21,002,Caseros,04607,084325,0,0,2,13,3,48,0,85,3
21,002,Caseros,04607,084326,0,0,1,11,1,31,0,101,5
21,002,Caseros,04608,084327,0,0,1,4,1,7,0,23,0
21,002,Caseros,04609,084328,0,0,1,0,0,4,0,26,0
21,002,Caseros,04610,084329,0,0,6,37,11,102,0,112,4
21,002,Caseros,04610,084330,0,0,0,17,5,47,0,37,1
21,002,Caseros,04611,084331,0,0,1,6,0,25,0,38,0
21,003,Castellanos,04612,084332,0,0,2,2,2,20,0,126,1
21,003,Castellanos,04613,084333,0,0,0,8,0,28,0,88,1
21,003,Castellanos,04614,084334,0,0,17,7,1,14,0,115,4
