codprov,coddepto,depto,circuito,mesa,electores,blancos,nulos,00002,00085,00009,00008,00005,00001
15,001,Confluencia,00046,000312,352,28,14,3,59,57,16,99,20
15,001,Confluencia,00046,000313,350,33,15,4,61,45,22,91,14
15,001,Confluencia,00046,000314,353,33,7,4,53,55,11,108,17
15,001,Confluencia,00046,000315,347,31,14,1,47,62,20,98,12
15,001,Confluencia,00046,000316,351,18,10,3,64,59,17,89,18
15,001,Confluencia,00046,000317,353,35,13,1,57,65,26,85,14
15,001,Confluencia,00046,000318,351,37,0,2,45,69,16,97,19
15,001,Confluencia,00046,000319,350,35,18,5,49,61,14,84,15
15,001,Confluencia,00046,000320,349,18,15,3,53,64,16,76,14
15,001,Confluencia,00046,000321,348,26,15,2,61,59,27,73,19
15,001,Confluencia,00046,000322,355,23,15,3,61,60,19,102,8
15,001,Confluencia,00046,000323,349,24,10,3,49,60,22,105,15
15,001,Confluencia,00046,000324,349,26,18,4,61,52,24,86,17
15,001,Confluencia,00046,000325,350,50,5,8,49,43,22,99,13
15,001,Confluencia,00046,000326,346,28,12,6,51,52,16,110,21
15,001,Confluencia,00046,000327,348,27,15,4,64,65,14,78,13
15,001,Confluencia,00046,000328,349,36,14,5,42,61,12,89,15
15,001,Confluencia,00046,000329,350,32,13,2,64,52,20,94,19
15,001,Confluencia,00046,000330,348,23,15,4,59,63,14,97,12
15,001,Confluencia,00046,000331,354,26,11,4,50,69,18,108,8
15,001,Confluencia,00046,000332,349,36,11,3,63,64,12,93,7
15,001,Confluencia,00046,000333,351,21,23,3,47,48,22,108,12
15,001,Confluencia,00046,000334,348,12,25,5,61,58,10,96,13
15,001,Confluencia,00046,000335,345,25,21,6,51,66,17,88,13
15,001,Confluencia,00046,000336,350,33,13,2,55,66,19,92,19
15,001,Confluencia,00046,000337,349,24,15,6,37,85,21,87,11
15,001,Confluencia,00046,000338,352,17,11,3,39,81,21,96,19
15,001,Confluencia,00046,000339,350,30,5,4,49,70,24,84,6
15,001,Confluencia,00046,000340,354,36,8,3,50,73,16,78,16
15,001,Confluencia,00046,000341,349,15,13,2,55,55,22,98,13
15,001,Confluencia,00046,000342,350,18,5,1,60,71,22,93,15
15,001,Confluencia,00046,000343,347,29,12,8,54,73,21,85,9
15,001,Confluencia,00046,000344,351,31,7,8,64,67,22,68,17
15,001,Confluencia,00046,000345,348,40,5,3,71,48,12,92,14
15,001,Confluencia,00046,000346,350,38,17,7,51,60,16,82,19
15,001,Confluencia,00046,000347,349,41,12,4,52,67,11,101,15
15,001,Confluencia,00046,000348,353,30,9,3,57,76,19,83,13
15,001,Confluencia,00046,000349,358,26,13,2,65,73,23,80,15
15,001,Confluencia,00046,000350,350,28,18,4,60,63,15,95,13
15,001,Confluencia,00046,000351,351,19,15,4,51,66,18,95,16
15,001,Confluencia,00046,000352,349,29,13,2,39,57,13,122,10
15,001,Confluencia,00046,000353,351,25,21,2,57,60,23,95,14
15,001,Confluencia,00046,000354,349,24,8,3,53,74,23,94,10
15,001,Confluencia,00046,000355,349,18,12,7,51,71,14,96,11
15,001,Confluencia,00046,000356,353,32,21,6,50,58,11,95,15
15,001,Confluencia,00046,000357,350,27,16,3,57,63,16,109,17
15,001,Confluencia,00046,000358,356,21,14,3,53,60,13,100,14
15,001,Confluencia,00046,000359,348,36,9,1,53,58,14,114,17
15,001,Confluencia,00046,000360,351,23,18,4,66,52,8,104,6
15,001,Confluencia,00046,000361,350,25,15,5,65,60,20,99,15
15,001,Confluencia,00046,000362,347,37,15,6,50,51,22,89,23
15,001,Confluencia,00046,000363,350,20,11,3,47,79,19,82,20
15,001,Confluencia,00046,000364,357,24,7,6,52,66,17,95,19
15,001,Confluencia,00046,000365,349,22,12,6,48,64,19,93,16
15,001,Confluencia,00046,000366,346,28,18,5,61,58,20,91,14
15,001,Confluencia,00046,000367,349,25,11,3,53,48,14,120,10
15,001,Confluencia,00046,000368,352,22,14,2,43,54,13,100,14
15,001,Confluencia,00046,000369,348,22,8,4,50,69,19,96,19
15,001,Confluencia,00046,000370,347,29,28,1,45,63,19,83,23
15,001,Confluencia,00046,000371,351,31,16,7,54,75,11,98,6
15,001,Confluencia,00046,000372,350,28,15,2,65,62,19,84,8
15,001,Confluencia,00046,000373,347,25,16,7,42,71,24,79,15
15,001,Confluencia,00046,000374,356,28,17,3,53,55,11,110,19
15,001,Confluencia,00046,000375,347,27,15,7,61,58,21,75,16
15,001,Confluencia,00046,000376,349,21,15,2,61,67,14,77,22
15,001,Confluencia,00046,000377,348,23,21,8,57,70,12,90,13
15,001,Confluencia,00046,000378,347,27,14,7,53,67,24,83,13
15,001,Confluencia,00046,000379,349,46,7,2,66,61,19,78,15
15,001,Confluencia,00046,000380,349,39,2,6,48,60,18,103,12
15,001,Confluencia,00046,000381,350,35,22,1,62,58,14,86,19
15,001,Confluencia,00046,000382,351,27,15,3,49,58,23,88,14
15,001,Confluencia,00046,000383,352,23,14,0,40,64,23,122,17
15,001,Confluencia,00046,000384,350,23,17,1,54,60,16,102,4
15,001,Confluencia,00046,000385,352,28,16,5,63,50,23,95,9
15,001,Confluencia,00046,000386,348,27,16,1,50,58,19,89,14
15,001,Confluencia,00046,000387,350,28,4,4,72,64,16,81,11
15,001,Confluencia,00046,000388,350,24,24,4,54,68,24,91,4
15,001,Confluencia,00046,000389,348,26,12,1,49,50,21,104,12
15,001,Confluencia,00046,000390,349,51,0,4,68,53,22,82,10
15,001,Confluencia,00046,000391,353,8,19,1,60,53,15,124,13
15,001,Confluencia,00046,000392,351,35,8,5,52,60,22,98,13
15,001,Confluencia,00046,000393,350,29,15,8,57,58,23,80,12
15,001,Confluencia,00046,000394,349,31,14,7,57,65,27,79,14
15,001,Confluencia,00046,000395,350,28,17,4,61,59,21,83,17
15,001,Confluencia,00046,000396,351,29,20,8,49,62,13,81,11
15,001,Confluencia,00046,000397,347,31,15,1,38,67,17,89,13
15,001,Confluencia,00046,000398,351,30,20,2,48,60,21,106,12
15,001,Confluencia,00046,000399,349,43,17,9,58,65,11,78,15
15,001,Confluencia,00046,000400,346,31,12,1,60,57,17,100,8
15,001,Confluencia,00046,000401,356,24,10,5,69,60,18,103,13
15,001,Confluencia,00046,000402,350,32,13,6,52,59,17,105,16
15,001,Confluencia,00046,000403,349,28,15,6,55,56,19,87,17
15,001,Confluencia,00046,000404,351,21,18,2,55,62,16,92,22
15,001,Confluencia,00046,000405,349,26,16,7,45,62,24,96,9
